ZIP,Borough,Neighborhood,Year,Total Adjusted Gross Income (IRS),Number of Returns (IRS),AGI,AGIadj2015,AdjacentIncome,Median HH Income ($),Mean HH Income ($),Median Home Value ($/sq. foot),% Employed,% Unemployed,% Not in Labor Force,Bordering Water,Number of Subway Stations in ZIP,Stops in ZIP,Number of Subway Lines Serving ZIP,Lines Serving ZIP,Number of Parks,Number of Playgrounds,Park Acreage,LandSqMile,Latitude,Longitude,adjacentZIP,Zillow_value,ZillowAdj,Zillow_value2,ZillowAdj2,AdjacentZillow2,Proximity,Coffees,NewCoffees
10001,Manhattan,Chelsea and Clinton,2001,"$884,714,000 ","8,607",102790,137509.8059,306856.96,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",,0,0,0,0,0.006202142,,
10001,Manhattan,Chelsea and Clinton,2002,"$787,935,000 ","8,489",92818,122214.0964,259898.84,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",,0,0,0,0,0.006202142,,
10001,Manhattan,Chelsea and Clinton,2004,"$976,187,000 ","11,553",84496,105895.9054,227954.86,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.462470726,0.579598516,0,0,0,0.006202142,,
10001,Manhattan,Chelsea and Clinton,2005,"$1,134,868,000 ","11,508",98616,119528.0576,283165.54,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.551668618,0.66865294,0.551668618,0.66865294,0.71,0.006202142,,
10001,Manhattan,Chelsea and Clinton,2006,"$1,385,158,000 ","11,962",115797,136000.3699,285514.51,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.650322014,0.763785197,0.650322014,0.763785197,0.79,0.006202142,,
10001,Manhattan,Chelsea and Clinton,2007,"$1,831,938,000 ","13,575",134949,154176.9101,330519.7,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.673009368,0.768901621,0.673009368,0.768901621,0.82,0.006202142,,
10001,Manhattan,Chelsea and Clinton,2008,"$1,541,045,000 ","12,534",122949,135324.7752,249423.64,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.716627635,0.788761792,0.716627635,0.788761792,0.83,0.006202142,,
10001,Manhattan,Chelsea and Clinton,2009,"$1,644,776,000 ","12,393",132718,146663.7562,224795.26,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.654517955,0.723293463,0.654517955,0.723293463,0.76,0.006202142,,
10001,Manhattan,Chelsea and Clinton,2010,"$1,699,184,000 ","13,202",128707,139991.4251,278320.88,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.62265808,0.677249815,0.62265808,0.677249815,0.69,0.006202142,,
10001,Manhattan,Chelsea and Clinton,2011,"$1,764,658,000 ","13,590",129850,136855.2693,247612.13,"$67,795.00 ","$121,403.00 ","$1,105.67 ",65.60%,6.30%,28.10%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.647345824,0.682269442,0.647345824,0.682269442,0.64,0.006202142,,
10001,Manhattan,Chelsea and Clinton,2012,"$1,915,739,000 ","13,300",144041,148689.3817,299832.99,"$76,138.00 ","$136,992.00 ","$1,182.17 ",65.90%,6.30%,27.80%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.692135051,0.714471107,0.692135051,0.714471107,0.68,0.006202142,,
10001,Manhattan,Chelsea and Clinton,2013,"$2,094,642,000 ","13,720",152671,155268.8497,288204.28,"$81,671.00 ","$157,557.00 ","$1,348.67 ",65.30%,6.50%,28.20%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.789617486,0.803053617,0.789617486,0.803053617,0.75,0.006202142,4,0
10001,Manhattan,Chelsea and Clinton,2014,"$2,363,960,000 ","14,080",167895,168062.895,291979.19,"$81,445.00 ","$151,316.00 ","$1,535.83 ",65%,6.20%,28.80%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.899199844,0.900099044,0.899199844,0.900099044,0.88,0.006202142,18,1
10001,Manhattan,Chelsea and Clinton,2015,"$2,368,986,000 ","14,310",165548,165548,292593.25,"$86,801.00 ","$158,183.00 ","$1,618.42 ",64.70%,5.90%,29.40%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.930598248,0.930598248,0.930598248,0.930598248,0.97,0.006202142,34,3
10002,Manhattan,Lower East Side,2001,"$1,013,271,000 ","30,128",33632,44992.02054,147932.94,,,,,,,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",,0,0,0,0,0.021629012,,
10002,Manhattan,Lower East Side,2002,"$1,014,170,000 ","30,066",33731,44413.83876,136470.87,,,,,,,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",,0,0,0,0,0.021629012,,
10002,Manhattan,Lower East Side,2004,"$1,159,588,000 ","40,975",28300,35467.40819,125981.99,,,,,,,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",,0,0,0,0,0.019185543,,
10002,Manhattan,Lower East Side,2005,"$1,300,710,000 ","42,171",30844,37384.63745,145386.53,,,,,,,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.547187728,0.663221853,0.547187728,0.663221853,0.69,0.019185543,,
10002,Manhattan,Lower East Side,2006,"$1,477,878,000 ","44,024",33570,39427.0354,161426.99,,,,,,,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.642257122,0.754313205,0.642257122,0.754313205,0.76,0.019185543,,
10002,Manhattan,Lower East Side,2007,"$1,748,633,000 ","50,732",34468,39379.09683,177000.75,,,,,,,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.703250548,0.803451649,0.703250548,0.803451649,0.8,0.019185543,,
10002,Manhattan,Lower East Side,2008,"$1,743,798,000 ","45,236",38549,42429.25732,170185.03,,,,,,,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.742147553,0.816850489,0.742147553,0.816850489,0.83,0.016326233,,
10002,Manhattan,Lower East Side,2009,"$1,652,980,000 ","44,144",37445,41379.64971,147975.7,,,,,,,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.68742391,0.759657113,0.68742391,0.759657113,0.77,0.019185543,,
10002,Manhattan,Lower East Side,2010,"$1,791,614,000 ","44,718",40065,43577.71097,165345.57,,,,,,,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.678293158,0.737762715,0.678293158,0.737762715,0.69,0.016326233,,
10002,Manhattan,Lower East Side,2011,"$1,840,625,000 ","44,538",41327,43556.54768,169647.2,"$32,407.00 ","$57,063.00 ",$936.75 ,50.80%,5.90%,43.30%,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.684258583,0.721173606,0.684258583,0.721173606,0.69,0.019185543,,
10002,Manhattan,Lower East Side,2012,"$1,944,420,000 ","43,460",44740,46183.81528,197645.46,"$32,265.00 ","$58,104.00 ",$987.25 ,50.30%,6%,43.60%,Y,6,"Essex St, Bowery, Grand St, 2 Av, Delancey St, East Broadway",6,"J, M, Z, B, D, F",18,10,87.55,0.9,40.715775,-73.986212," 10009, 10003, 10012, 10013, 10038",0.721146822,0.744419124,0.721146822,0.744419124,0.71,0.019185543,,
