ZIP,Borough,Neighborhood,Year,Total Adjusted Gross Income (IRS),Number of Returns (IRS),AGI,AGIadj2015,AdjacentIncome,Median HH Income ($),Mean HH Income ($),Median Home Value ($/sq. foot),% Employed,% Unemployed,% Not in Labor Force,Bordering Water,Number of Subway Stations in ZIP,Stops in ZIP,Number of Subway Lines Serving ZIP,Lines Serving ZIP,Number of Parks,Number of Playgrounds,Park Acreage,LandSqMile,Latitude,Longitude,adjacentZIP,Zillow_value,Zillow_value2,ZillowAdj,ZillowAdj2,AdjacentZillow2,Proximity,Coffees,NewCoffees,CRIME_COUNT,A1,A2,DM,NB
10001,Manhattan,Chelsea and Clinton,2001,"$884,714,000 ","8,607",102790,137509.8059,306856.96,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",,,,,,0.006202142,,,,42,600,8,5
10001,Manhattan,Chelsea and Clinton,2002,"$787,935,000 ","8,489",92818,122214.0964,259898.84,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",,,,,,0.006202142,,,,36,616,7,3
10001,Manhattan,Chelsea and Clinton,2004,"$976,187,000 ","11,553",84496,105895.9054,227954.86,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.422858672,,0.529954103,,,0.006202142,,,,33,610,8,4
10001,Manhattan,Chelsea and Clinton,2005,"$1,134,868,000 ","11,508",98616,119528.0576,283165.54,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.504416488,0.504416488,0.61138074,0.61138074,0.49,0.006202142,,,,43,707,6,4
10001,Manhattan,Chelsea and Clinton,2006,"$1,385,158,000 ","11,962",115797,136000.3699,285514.51,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.594619914,0.594619914,0.698364623,0.698364623,0.55,0.006202142,,,2939,30,637,14,4
10001,Manhattan,Chelsea and Clinton,2007,"$1,831,938,000 ","13,575",134949,154176.9101,330519.7,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.615364026,0.615364026,0.70304281,0.70304281,0.57,0.006202142,,,2749,23,676,33,7
10001,Manhattan,Chelsea and Clinton,2008,"$1,541,045,000 ","12,534",122949,135324.7752,249423.64,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.655246253,0.655246253,0.721201896,0.721201896,0.58,0.006202142,,,2569,26,622,14,11
10001,Manhattan,Chelsea and Clinton,2009,"$1,644,776,000 ","12,393",132718,146663.7562,224795.26,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.59845646,0.59845646,0.661341132,0.661341132,0.53,0.006202142,,,2250,17,580,7,2
10001,Manhattan,Chelsea and Clinton,2010,"$1,699,184,000 ","13,202",128707,139991.4251,278320.88,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.569325482,0.569325482,0.619241266,0.619241266,0.5,0.006202142,,,2229,30,622,2,1
10001,Manhattan,Chelsea and Clinton,2011,"$1,764,658,000 ","13,590",129850,136855.2693,247612.13,"$67,795.00 ","$121,403.00 ","$1,105.67 ",65.60%,6.30%,28.10%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.591898644,0.591898644,0.623830946,0.623830946,0.48,0.006202142,,,2115,27,811,18,3
