Zip_Code,Job_Type,YEAR,f0_
11416,NB,2013,1
11104,DM,2013,1
11422,DM,2013,1
11430,A2,2013,1
11415,DM,2013,1
11372,DM,2013,1
10031,DM,2013,1
10110,A2,2013,1
10021,DM,2013,1
11451,A2,2013,1
10022,DM,2013,1
11411,DM,2013,1
11242,A2,2013,1
11023,DM,2013,1
10055,A2,2013,1
10044,NB,2013,1
10475,DM,2013,1
10017,DM,2013,1
11430,DM,2013,1
10119,A1,2013,1
10473,DM,2013,1
10039,A1,2013,1
10112,A2,2013,1
10451,DM,2013,1
10162,A2,2013,1
10454,DM,2013,1
10032,DM,2013,1
11692,NB,2013,1
10039,DM,2013,1
11428,NB,2013,1
11040,DM,2013,1
10111,A1,2013,1
11222,A2,2013,257
10307,DM,2013,2
11001,DM,2013,2
11363,DM,2013,2
10310,NB,2013,2
11374,DM,2013,2
11104,NB,2013,2
10030,NB,2013,2
10033,NB,2013,2
11412,DM,2013,2
11429,NB,2013,2
10075,DM,2013,2
10470,NB,2013,2
11001,NB,2013,2
11242,A1,2013,2
11692,DM,2013,2
10010,DM,2013,2
11216,DM,2013,2
11040,NB,2013,2
11436,DM,2013,2
10470,A1,2013,2
10024,DM,2013,2
10461,DM,2013,2
12534,A2,2013,2
10803,A2,2013,2
11370,DM,2013,2
10036,DM,2013,2
10455,DM,2013,2
11692,A1,2013,2
11419,DM,2013,2
10080,A1,2013,2
11434,DM,2013,2
11428,DM,2013,2
11369,DM,2013,2
10023,NB,2013,2
11411,NB,2013,2
11239,A1,2013,2
10035,DM,2013,2
11367,DM,2013,2
10031,NB,2013,2
10176,A2,2013,2
11417,DM,2013,2
11212,DM,2013,2
10459,DM,2013,3
10474,NB,2013,3
10166,A1,2013,3
10040,NB,2013,3
10310,A1,2013,3
11360,DM,2013,3
11359,A2,2013,3
11426,NB,2013,3
10282,A1,2013,3
10465,DM,2013,3
10452,DM,2013,3
10475,NB,2013,3
11421,DM,2013,3
10475,A1,2013,3
11366,DM,2013,3
10040,A1,2013,3
11379,NB,2013,3
10004,DM,2013,3
10451,NB,2013,3
11236,DM,2013,3
11422,NB,2013,3
10457,DM,2013,3
10469,DM,2013,3
10129,A2,2013,3
10065,DM,2013,3
11433,DM,2013,3
10453,A1,2013,3
10012,DM,2013,3
10065,NB,2013,3
11429,DM,2013,3
10468,NB,2013,3
11372,NB,2013,3
10453,DM,2013,3
10120,A1,2013,3
11209,DM,2013,3
11375,DM,2013,3
11106,NB,2013,3
11360,NB,2013,3
10471,DM,2013,3
11040,A1,2013,4
10473,A1,2013,4
11428,A1,2013,4
11362,DM,2013,4
11207,DM,2013,4
10075,NB,2013,4
10005,A1,2013,4
10128,NB,2013,4
10456,DM,2013,4
10458,DM,2013,4
11421,NB,2013,4
10462,DM,2013,4
10026,DM,2013,4
11004,DM,2013,4
10473,NB,2013,4
10474,DM,2013,4
11427,NB,2013,4
10453,NB,2013,4
10037,NB,2013,4
11416,DM,2013,4
11234,DM,2013,4
11228,DM,2013,4
10025,DM,2013,4
10009,DM,2013,4
10028,DM,2013,4
10017,NB,2013,4
11370,NB,2013,5
10458,NB,2013,5
11356,NB,2013,5
11385,DM,2013,5
11203,DM,2013,5
11418,DM,2013,5
11205,DM,2013,5
10036,NB,2013,5
11415,A1,2013,5
10006,NB,2013,5
10302,DM,2013,5
10024,NB,2013,5
10016,DM,2013,5
10013,DM,2013,5
10006,A1,2013,5
11435,DM,2013,5
10468,A1,2013,5
11360,A1,2013,5
10270,A2,2013,5
10172,A2,2013,5
11379,DM,2013,5
10004,NB,2013,5
11105,DM,2013,5
11237,DM,2013,5
11109,A2,2013,5
11105,NB,2013,5
10307,A1,2013,5
11209,NB,2013,5
10460,A1,2013,6
10011,DM,2013,6
10175,A2,2013,6
11363,NB,2013,6
10037,A1,2013,6
11363,A1,2013,6
11436,A1,2013,6
11001,A1,2013,6
10308,DM,2013,6
10474,A1,2013,6
11225,DM,2013,6
10310,DM,2013,6
10281,A2,2013,6
10302,A1,2013,6
11364,DM,2013,6
10302,NB,2013,6
11423,NB,2013,6
10452,A1,2013,6
10115,A2,2013,6
10002,DM,2013,6
11423,DM,2013,6
11204,DM,2013,6
11103,NB,2013,6
11691,DM,2013,6
10464,NB,2013,6
11427,A1,2013,6
10123,A2,2013,6
11226,DM,2013,6
11413,DM,2013,6
11004,NB,2013,6
10034,A1,2013,6
11415,NB,2013,6
11358,DM,2013,6
11218,NB,2013,6
11213,DM,2013,6
10312,A2,2013,262
10038,DM,2013,7
10460,DM,2013,7
10463,NB,2013,7
11436,NB,2013,7
10025,NB,2013,7
11361,NB,2013,7
11697,A1,2013,7
10033,A1,2013,7
11217,DM,2013,7
10462,NB,2013,7
11375,NB,2013,7
11232,DM,2013,7
10009,NB,2013,7
10018,DM,2013,7
11426,DM,2013,7
11693,NB,2013,7
11104,A1,2013,7
11365,DM,2013,7
10463,DM,2013,7
10020,A1,2013,7
10177,A2,2013,7
10464,A1,2013,8
11357,DM,2013,8
10472,A1,2013,8
10039,NB,2013,8
11210,NB,2013,8
11434,NB,2013,8
11234,NB,2013,8
11201,DM,2013,8
10075,A1,2013,8
10029,NB,2013,8
10469,NB,2013,8
