Zip_Code,YEAR,CRIME_COUNT
10001,2006,2939
10001,2007,2749
10001,2008,2569
10001,2009,2250
10001,2010,2229
10001,2011,2115
10001,2012,2199
10001,2013,2098
10001,2014,2063
10001,2015,2094
10001,2016,2007
10002,2006,2114
10002,2007,2428
10002,2008,2238
10002,2009,2214
10002,2010,2123
10002,2011,2056
10002,2012,2159
10002,2013,2097
10002,2014,1983
10002,2015,2183
10002,2016,2372
10003,2006,2244
10003,2007,2183
10003,2008,2158
10003,2009,2080
10003,2010,2080
10003,2011,2052
10003,2012,2029
10003,2013,2135
10003,2014,1908
10003,2015,2001
10003,2016,1851
10004,2006,201
10004,2007,197
10004,2008,157
10004,2009,155
10004,2010,130
10004,2011,163
10004,2012,174
10004,2013,132
10004,2014,181
10004,2015,234
10004,2016,251
10005,2006,130
10005,2007,119
10005,2008,125
10005,2009,117
10005,2010,96
10005,2011,91
10005,2012,92
10005,2013,89
10005,2014,105
10005,2015,130
10005,2016,106
10006,2006,114
10006,2007,115
10006,2008,99
10006,2009,86
10006,2010,81
10006,2011,90
10006,2012,93
10006,2013,80
10006,2014,83
10006,2015,99
10006,2016,103
10007,2006,372
10007,2007,379
10007,2008,392
10007,2009,369
10007,2010,320
10007,2011,293
10007,2012,306
10007,2013,317
10007,2014,272
10007,2015,311
10007,2016,339
10009,2006,1283
10009,2007,1364
10009,2008,1395
10009,2009,1345
10009,2010,1288
10009,2011,1295
10009,2012,1335
10009,2013,1239
10009,2014,1222
10009,2015,1191
10009,2016,1310
10010,2006,1062
10010,2007,1008
10010,2008,909
10010,2009,947
10010,2010,785
10010,2011,776
10010,2012,740
10010,2013,801
10010,2014,764
10010,2015,992
10010,2016,925
10011,2006,2049
10011,2007,1982
10011,2008,1822
10011,2009,1669
10011,2010,1608
10011,2011,1552
10011,2012,1583
10011,2013,1669
10011,2014,1607
10011,2015,1713
10011,2016,1658
10012,2006,1355
10012,2007,1351
10012,2008,1203
10012,2009,1177
10012,2010,1120
10012,2011,1108
10012,2012,1199
10012,2013,1122
10012,2014,1040
10012,2015,1099
10012,2016,998
10013,2006,1074
10013,2007,1039
10013,2008,955
10013,2009,942
10013,2010,916
10013,2011,866
10013,2012,896
10013,2013,881
10013,2014,809
10013,2015,887
10013,2016,1023
10014,2006,1353
10014,2007,1381
10014,2008,1341
10014,2009,1165
10014,2010,1129
10014,2011,1343
10014,2012,1399
10014,2013,1282
10014,2014,1188
10014,2015,1145
10014,2016,1069
10016,2006,1442
10016,2007,1438
10016,2008,1471
10016,2009,1248
10016,2010,1160
10016,2011,1136
10016,2012,1242
10016,2013,1150
10016,2014,1181
10016,2015,1198
10016,2016,1102
10017,2006,903
10017,2007,827
10017,2008,768
10017,2009,687
10017,2010,649
10017,2011,606
10017,2012,591
10017,2013,557
10017,2014,537
10017,2015,597
10017,2016,623
10018,2006,1601
10018,2007,1355
10018,2008,1303
10018,2009,1206
10018,2010,1096
10018,2011,1046
10018,2012,1107
10018,2013,1255
10018,2014,1130
10018,2015,1120
10018,2016,1155
10019,2006,1744
10019,2007,1782
10019,2008,1826
10019,2009,1624
10019,2010,1669
10019,2011,1651
10019,2012,1498
10019,2013,1620
10019,2014,1580
10019,2015,1573
10019,2016,1680
10020,2006,105
10020,2007,105
10020,2008,93
10020,2009,88
10020,2010,111
10020,2011,82
10020,2012,94
10020,2013,76
10020,2014,84
10020,2015,76
10020,2016,85
10021,2006,529
10021,2007,518
10021,2008,416
10021,2009,359
10021,2010,381
10021,2011,333
10021,2012,420
10021,2013,393
10021,2014,374
10021,2015,329
10021,2016,345
10022,2006,1264
10022,2007,1285
10022,2008,1239
10022,2009,1130
10022,2010,1021
10022,2011,1086
10022,2012,1144
10022,2013,1085
10022,2014,981
10022,2015,1153
10022,2016,1134
10023,2006,1067
10023,2007,1075
10023,2008,1047
10023,2009,983
10023,2010,952
10023,2011,854
10023,2012,887
10023,2013,825
10023,2014,776
10023,2015,782
10023,2016,725
10024,2006,1045
10024,2007,908
10024,2008,892
10024,2009,805
10024,2010,791
10024,2011,678
10024,2012,811
10024,2013,717
10024,2014,696
10024,2015,658
10024,2016,668
10025,2006,1914
10025,2007,1869
10025,2008,1761
10025,2009,1668
10025,2010,1552
10025,2011,1534
10025,2012,1605
10025,2013,1522
10025,2014,1459
10025,2015,1461
10025,2016,1460
10026,2006,1701
10026,2007,1382
10026,2008,1496
10026,2009,1543
10026,2010,1608
10026,2011,1413
10026,2012,1433
10026,2013,1234
10026,2014,1062
10026,2015,1147
10026,2016,1415
10027,2006,2651
10027,2007,2505
10027,2008,2710
10027,2009,2812
10027,2010,2602
10027,2011,2579
10027,2012,2615
10027,2013,2429
10027,2014,2148
10027,2015,2207
10027,2016,2232
10028,2006,706
10028,2007,653
10028,2008,580
10028,2009,513
10028,2010,491
10028,2011,504
10028,2012,540
10028,2013,533
10028,2014,476
10028,2015,468
10028,2016,481
10029,2006,2784
10029,2007,3027
10029,2008,3124
10029,2009,2936
10029,2010,2990
10029,2011,2942
10029,2012,2854
10029,2013,2767
10029,2014,2723
10029,2015,2982
10029,2016,2855
10030,2006,1438
10030,2007,1296
10030,2008,1320
10030,2009,1363
10030,2010,1247
10030,2011,1218
10030,2012,1073
10030,2013,982
10030,2014,1022
10030,2015,1067
10030,2016,1033
10031,2006,2081
10031,2007,2306
10031,2008,2090
10031,2009,2353
10031,2010,2050
10031,2011,2139
10031,2012,2134
10031,2013,2086
10031,2014,1780
10031,2015,1610
10031,2016,1680
10032,2006,1664
10032,2007,1691
10032,2008,1566
10032,2009,1653
10032,2010,1595
10032,2011,1411
10032,2012,1335
10032,2013,1467
10032,2014,1267
10032,2015,1239
10032,2016,1129
10033,2006,1483
10033,2007,1406
10033,2008,1376
10033,2009,1282
10033,2010,1172
10033,2011,1165
10033,2012,1069
10033,2013,1003
10033,2014,914
10033,2015,1117
10033,2016,1013
10034,2006,925
10034,2007,911
10034,2008,879
10034,2009,884
10034,2010,829
10034,2011,859
10034,2012,836
10034,2013,838
10034,2014,946
10034,2015,869
10034,2016,945
10035,2006,1647
10035,2007,1816
10035,2008,1906
10035,2009,1895
10035,2010,2231
10035,2011,1976
10035,2012,2175
10035,2013,2131
10035,2014,2184
10035,2015,2120
10035,2016,1980
10036,2006,2421
10036,2007,2366
10036,2008,2355
10036,2009,2153
10036,2010,2227
10036,2011,2177
10036,2012,2522
10036,2013,2367
10036,2014,2374
10036,2015,2295
10036,2016,2635
10037,2006,635
10037,2007,790
10037,2008,794
10037,2009,666
10037,2010,734
10037,2011,773
10037,2012,715
10037,2013,789
10037,2014,969
10037,2015,776
10037,2016,708
10038,2006,495
10038,2007,506
10038,2008,482
10038,2009,457
10038,2010,442
10038,2011,461
10038,2012,442
10038,2013,439
10038,2014,420
10038,2015,453
10038,2016,504
10039,2006,1115
10039,2007,1159
10039,2008,1193
10039,2009,1064
10039,2010,1064
10039,2011,943
10039,2012,890
10039,2013,801
10039,2014,873
10039,2015,967
10039,2016,996
10040,2006,721
