Neighborhood,Index
St. Albans,
8/1/16,100
9/1/16,88
10/1/16,71
11/1/16,77
12/1/16,73
1/1/17,68
2/1/17,72
3/1/17,108
4/1/17,89
5/1/17,110
6/1/17,108
Alphabet City,
8/1/16,26
9/1/16,30
10/1/16,13
11/1/16,18
12/1/16,44
1/1/17,27
2/1/17,76
3/1/17,90
4/1/17,52
5/1/17,61
6/1/17,38
Annadale,
8/1/16,0
9/1/16,10
10/1/16,12
11/1/16,8
12/1/16,7
1/1/17,13
2/1/17,7
3/1/17,10
4/1/17,6
5/1/17,12
6/1/17,10
Arden Heights,
8/1/16,3
9/1/16,13
10/1/16,11
11/1/16,2
12/1/16,4
1/1/17,9
2/1/17,9
3/1/17,5
4/1/17,4
5/1/17,5
6/1/17,17
Arrochar,
10/1/16,1
2/1/17,4
Astoria,
8/1/16,936
9/1/16,1010
10/1/16,1045
11/1/16,904
12/1/16,1025
1/1/17,1200
2/1/17,1113
3/1/17,1252
4/1/17,1149
5/1/17,1295
6/1/17,1441
Averne,
8/1/16,72
9/1/16,40
10/1/16,43
11/1/16,48
12/1/16,47
1/1/17,89
2/1/17,114
3/1/17,103
4/1/17,76
5/1/17,95
6/1/17,71
Bath Beach,
8/1/16,3
9/1/16,12
10/1/16,9
11/1/16,45
12/1/16,22
1/1/17,34
2/1/17,13
3/1/17,21
4/1/17,30
5/1/17,21
6/1/17,23
Battery Park,
8/1/16,399
9/1/16,523
10/1/16,382
11/1/16,352
12/1/16,460
1/1/17,423
2/1/17,460
3/1/17,517
4/1/17,642
5/1/17,634
6/1/17,646
Bay Ridge,
8/1/16,584
9/1/16,571
10/1/16,597
11/1/16,555
12/1/16,588
1/1/17,582
2/1/17,512
3/1/17,617
4/1/17,611
5/1/17,618
6/1/17,664
Bay Street,
8/1/16,47
9/1/16,57
10/1/16,112
11/1/16,90
12/1/16,132
1/1/17,94
2/1/17,88
3/1/17,135
4/1/17,69
5/1/17,90
6/1/17,102
Bayside,
8/1/16,484
9/1/16,655
10/1/16,710
11/1/16,643
12/1/16,721
1/1/17,958
2/1/17,836
3/1/17,943
4/1/17,1183
5/1/17,1129
6/1/17,1148
Bedford Park,
8/1/16,100
9/1/16,104
10/1/16,97
11/1/16,88
12/1/16,81
1/1/17,136
2/1/17,166
3/1/17,147
4/1/17,113
5/1/17,138
6/1/17,223
Bedford Stuyvesant,
8/1/16,53
9/1/16,70
10/1/16,32
11/1/16,75
12/1/16,100
1/1/17,93
2/1/17,200
3/1/17,50
4/1/17,74
5/1/17,75
6/1/17,120
Beechhurst,
8/1/16,19
9/1/16,17
10/1/16,23
11/1/16,59
12/1/16,19
1/1/17,30
2/1/17,47
3/1/17,31
4/1/17,26
5/1/17,29
6/1/17,19
Bellerose,
8/1/16,62
9/1/16,121
10/1/16,102
11/1/16,55
12/1/16,54
1/1/17,150
2/1/17,64
3/1/17,176
4/1/17,321
5/1/17,268
6/1/17,195
Belmont,
8/1/16,1287
9/1/16,1267
10/1/16,1428
11/1/16,1151
12/1/16,1440
1/1/17,1810
2/1/17,1587
3/1/17,2304
4/1/17,1837
5/1/17,1762
6/1/17,2381
Bensonhurst,
8/1/16,97
9/1/16,116
10/1/16,80
11/1/16,100
12/1/16,110
1/1/17,122
2/1/17,78
3/1/17,85
4/1/17,136
5/1/17,110
6/1/17,77
Bergen Beach,
8/1/16,88
9/1/16,108
10/1/16,97
11/1/16,69
12/1/16,38
1/1/17,80
2/1/17,82
3/1/17,114
4/1/17,65
5/1/17,129
6/1/17,114
Boerum Hill,
8/1/16,51
9/1/16,71
10/1/16,127
11/1/16,132
12/1/16,104
1/1/17,104
2/1/17,82
3/1/17,187
4/1/17,195
5/1/17,259
6/1/17,248
Borough Park,
8/1/16,41
9/1/16,47
10/1/16,23
11/1/16,35
12/1/16,23
1/1/17,37
2/1/17,43
3/1/17,18
4/1/17,64
5/1/17,82
6/1/17,61
Briarwood,
8/1/16,1141
9/1/16,1456
10/1/16,1485
11/1/16,1053
12/1/16,1034
1/1/17,1595
2/1/17,2332
3/1/17,2712
4/1/17,1730
5/1/17,2063
6/1/17,3077
Brighton Beach,
8/1/16,149
9/1/16,112
10/1/16,86
11/1/16,94
12/1/16,119
1/1/17,103
2/1/17,102
3/1/17,184
4/1/17,196
5/1/17,161
6/1/17,197
Broad Channel,
8/1/16,56
9/1/16,50
10/1/16,35
11/1/16,48
12/1/16,37
1/1/17,44
2/1/17,89
3/1/17,87
4/1/17,51
5/1/17,41
6/1/17,39
Bronxdale,
10/1/16,2
11/1/16,2
12/1/16,3
2/1/17,0
3/1/17,1
5/1/17,3
6/1/17,8
Brooklyn Heights,
8/1/16,947
9/1/16,1225
10/1/16,1060
11/1/16,889
12/1/16,736
1/1/17,1179
2/1/17,1200
3/1/17,1238
4/1/17,1195
5/1/17,1037
6/1/17,1437
Brownsville,
8/1/16,284
9/1/16,338
10/1/16,413
11/1/16,339
12/1/16,350
1/1/17,398
2/1/17,336
3/1/17,492
4/1/17,440
5/1/17,580
6/1/17,438
Bushwick,
8/1/16,547
9/1/16,553
10/1/16,622
11/1/16,448
12/1/16,509
1/1/17,588
2/1/17,864
3/1/17,782
4/1/17,663
5/1/17,564
6/1/17,666
Cambria Heights,
8/1/16,115
9/1/16,80
10/1/16,149
11/1/16,121
12/1/16,117
1/1/17,126
2/1/17,147
3/1/17,145
4/1/17,157
5/1/17,221
6/1/17,140
Canarsie,
8/1/16,212
9/1/16,278
10/1/16,330
11/1/16,197
12/1/16,207
1/1/17,369
2/1/17,234
3/1/17,281
4/1/17,244
5/1/17,227
6/1/17,151
Carnegie Hill,
8/1/16,124
9/1/16,117
10/1/16,187
11/1/16,171
12/1/16,106
1/1/17,146
2/1/17,212
3/1/17,141
4/1/17,137
5/1/17,200
6/1/17,113
Carroll Gardens,
8/1/16,282
9/1/16,220
10/1/16,233
11/1/16,210
12/1/16,288
1/1/17,373
2/1/17,255
3/1/17,237
4/1/17,219
5/1/17,270
6/1/17,327
Castle Hill,
8/1/16,149
9/1/16,167
10/1/16,182
11/1/16,168
12/1/16,183
1/1/17,221
2/1/17,279
3/1/17,260
4/1/17,211
5/1/17,224
6/1/17,250
Castleton Corners,
8/1/16,13
9/1/16,16
10/1/16,9
11/1/16,24
12/1/16,26
1/1/17,56
2/1/17,17
3/1/17,26
4/1/17,32
5/1/17,29
6/1/17,31
Charleston,
8/1/16,2140
9/1/16,2567
10/1/16,2739
11/1/16,2626
12/1/16,2551
1/1/17,3716
2/1/17,3583
3/1/17,3912
4/1/17,4177
5/1/17,4405
6/1/17,4627
Chelsea,
8/1/16,1079
9/1/16,1464
10/1/16,1762
11/1/16,1913
12/1/16,1509
1/1/17,1896
2/1/17,1800
3/1/17,2570
4/1/17,2870
5/1/17,3082
6/1/17,3354
Chinatown,
8/1/16,119
9/1/16,164
10/1/16,138
11/1/16,118
12/1/16,141
1/1/17,185
2/1/17,209
3/1/17,237
4/1/17,297
5/1/17,246
6/1/17,233
City Island,
8/1/16,371
9/1/16,360
10/1/16,191
11/1/16,172
12/1/16,251
1/1/17,332
2/1/17,238
3/1/17,206
4/1/17,295
5/1/17,283
6/1/17,307
Clifton,
8/1/16,351
9/1/16,393
10/1/16,422
11/1/16,402
12/1/16,495
1/1/17,633
2/1/17,592
3/1/17,716
4/1/17,737
5/1/17,691
6/1/17,712
Cobble Hill,
8/1/16,419
9/1/16,550
10/1/16,517
11/1/16,417
12/1/16,358
1/1/17,352
2/1/17,354
3/1/17,432
4/1/17,373
5/1/17,432
6/1/17,592
College Point,
8/1/16,55
9/1/16,84
10/1/16,88
11/1/16,85
12/1/16,63
1/1/17,126
2/1/17,129
3/1/17,134
4/1/17,96
5/1/17,98
6/1/17,110
Coney Island,
8/1/16,186
9/1/16,234
10/1/16,176
11/1/16,115
12/1/16,164
1/1/17,111
2/1/17,84
3/1/17,220
4/1/17,234
5/1/17,191
6/1/17,266
Corona,
8/1/16,1542
9/1/16,1934
10/1/16,1951
11/1/16,1861
12/1/16,1847
1/1/17,2346
2/1/17,2170
3/1/17,2672
4/1/17,2730
5/1/17,2692
6/1/17,2687
Country Club,
8/1/16,1140
9/1/16,1417
10/1/16,1414
11/1/16,1371
12/1/16,1382
1/1/17,2132
2/1/17,1792
3/1/17,1450
4/1/17,1611
5/1/17,2087
6/1/17,2069
Crown Heights,
8/1/16,644
9/1/16,605
10/1/16,600
11/1/16,402
12/1/16,457
1/1/17,614
2/1/17,555
3/1/17,532
4/1/17,580
5/1/17,697
6/1/17,800
Cypress Hills,
8/1/16,39
9/1/16,46
10/1/16,41
11/1/16,49
12/1/16,38
1/1/17,37
2/1/17,28
3/1/17,92
4/1/17,26
5/1/17,29
6/1/17,18
Dongan Hills,
8/1/16,13
9/1/16,5
10/1/16,10
11/1/16,15
12/1/16,25
1/1/17,17
2/1/17,17
3/1/17,8
4/1/17,9
5/1/17,24
6/1/17,12
Douglaston,
8/1/16,119
9/1/16,150
10/1/16,132
11/1/16,97
12/1/16,129
1/1/17,165
2/1/17,114
3/1/17,197
4/1/17,161
5/1/17,162
6/1/17,120
Downtown Brooklyn,
8/1/16,482
9/1/16,737
10/1/16,671
11/1/16,563
12/1/16,634
1/1/17,808
2/1/17,580
3/1/17,723
4/1/17,776
5/1/17,660
6/1/17,638
Dyker Heights,
8/1/16,127
9/1/16,155
