Year,ZIP Code,Zillow_value,ZillowAdj,Zillow_value2,ZillowAdj2
2016,10001,0.850342683,0.839430092,0.850342683,0.839430092
2017,10001,0.890121927,0.861469453,0.890121927,0.861469453
2016,10002,0.713809947,0.704649504,0.713809947,0.704649504
2017,10002,0.760129796,0.735661688,0.760129796,0.735661688
2016,10003,0.7108445,0.701722113,0.7108445,0.701722113
2017,10003,0.802757481,0.776917215,0.802757481,0.776917215
2016,10004,0.618281266,0.610346758,0.618281266,0.610346758
2017,10004,0.610143137,0.590503007,0.610143137,0.590503007
2016,10005,0.57251196,0.565164817,0.57251196,0.565164817
2017,10005,0.570107477,0.55175607,0.570107477,0.55175607
2016,10006,0.622325499,0.614339091,0.622325499,0.614339091
2017,10006,0.623870456,0.603788452,0.623870456,0.603788452
2016,10007,0.939331472,0.927276872,0.939331472,0.927276872
2017,10007,0.925021453,0.895245585,0.925021453,0.895245585
2016,10009,0.728175877,0.718831073,0.728175877,0.718831073
2017,10009,0.734533612,0.71088943,0.734533612,0.71088943
2016,10010,0.811561299,0.801146396,0.811561299,0.801146396
2017,10010,0.854291853,0.826792727,0.854291853,0.826792727
2016,10011,0.887492221,0.876102883,0.887492221,0.876102883
2017,10011,0.804596605,0.778697138,0.804596605,0.778697138
2016,10012,0.850074521,0.839165371,0.850074521,0.839165371
2017,10012,0.85734824,0.82975073,0.85734824,0.82975073
2016,10013,0.962224588,0.949876197,0.962224588,0.949876197
2017,10013,0.939455136,0.909214656,0.939455136,0.909214656
2016,10014,0.831169478,0.82050294,0.831169478,0.82050294
2017,10014,0.846198365,0.818959763,0.846198365,0.818959763
2016,10016,0.458492703,0.452608788,0.458492703,0.452608788
2017,10016,0.465298989,0.450321303,0.465298989,0.450321303
2016,10017,0.404220371,0.399032942,0.404220371,0.399032942
2017,10017,0.440560834,0.426379453,0.440560834,0.426379453
2016,10018,0.934390574,0.922399382,0.934390574,0.922399382
2017,10018,0.918133273,0.888579131,0.918133273,0.888579131
2016,10019,0.714987701,0.705812144,0.714987701,0.705812144
2017,10019,0.704586261,0.681906066,0.704586261,0.681906066
2016,10021,0.683404152,0.674633911,0.683404152,0.674633911
2017,10021,0.681352822,0.659420496,0.681352822,0.659420496
2016,10022,0.704218171,0.69518082,0.704218171,0.69518082
2017,10022,0.708710245,0.685897301,0.708710245,0.685897301
2016,10023,0.821190157,0.810651685,0.821190157,0.810651685
2017,10023,0.813387923,0.787205469,0.813387923,0.787205469
2016,10024,0.746287305,0.736710074,0.746287305,0.736710074
2017,10024,0.734375452,0.71073636,0.734375452,0.71073636
2016,10025,0.547646419,0.54061838,0.547646419,0.54061838
2017,10025,0.552072694,0.534301816,0.552072694,0.534301816
2016,10026,0.434778885,0.429199295,0.434778885,0.429199295
2017,10026,0.454314017,0.43968993,0.454314017,0.43968993
2016,10027,0.38493229,0.379992389,0.38493229,0.379992389
2017,10027,0.378932855,0.366735241,0.378932855,0.366735241
2016,10028,0.684694434,0.675907635,0.684694434,0.675907635
2017,10028,0.595486303,0.576317968,0.595486303,0.576317968
2016,10029,0.465679721,0.459703574,0.465679721,0.459703574
2017,10029,0.523281741,0.506437625,0.523281741,0.506437625
2016,10030,0.388695575,0.383707379,0.388695575,0.383707379
2017,10030,0.429670771,0.415839935,0.429670771,0.415839935
2016,10031,0.416131335,0.410791051,0.416131335,0.410791051
2017,10031,0.452087794,0.437535368,0.452087794,0.437535368
2016,10032,0.37366167,0.368866407,0.37366167,0.368866407
2017,10032,0.406785332,0.393691164,0.406785332,0.393691164
2016,10033,0.344173804,0.339756964,0.344173804,0.339756964
2017,10033,0.375468415,0.363382319,0.375468415,0.363382319
2016,10034,0.340292648,0.335925615,0.340292648,0.335925615
2017,10034,0.368375268,0.356517496,0.368375268,0.356517496
2016,10035,0.484073876,0.477861674,0.484073876,0.477861674
2017,10035,0.526967345,0.510004592,0.526967345,0.510004592
2016,10036,0.676519451,0.667837563,0.676519451,0.667837563
2017,10036,0.690634916,0.668403806,0.690634916,0.668403806
2016,10038,0.525471728,0.518728261,0.525471728,0.518728261
2017,10038,0.546981774,0.52937477,0.546981774,0.52937477
2016,10039,0.39971449,0.394584886,0.39971449,0.394584886
2017,10039,0.4314106,0.417523759,0.4314106,0.417523759
2016,10065,0.828586896,0.817953501,0.828586896,0.817953501
2017,10065,0.808068249,0.782057032,0.808068249,0.782057032
2016,10069,0.790079582,0.779940357,0.790079582,0.779940357
2017,10069,0.760826492,0.736335958,0.760826492,0.736335958
2016,10075,0.676119704,0.667442945,0.676119704,0.667442945
2017,10075,0.670033403,0.648465442,0.670033403,0.648465442
2016,10128,0.526957229,0.520194698,0.526957229,0.520194698
2017,10128,0.575132536,0.556619376,0.575132536,0.556619376
2016,10280,0.463739797,0.457788546,0.463739797,0.457788546
2017,10280,0.477391289,0.462024359,0.477391289,0.462024359
2016,10301,0.141790093,0.139970477,0.141790093,0.139970477
2017,10301,0.159926396,0.154778465,0.159926396,0.154778465
2016,10302,0.129372626,0.127712365,0.129372626,0.127712365
2017,10302,0.147178503,0.142440918,0.147178503,0.142440918
2016,10303,0.102499064,0.101183676,0.102499064,0.101183676
2017,10303,0.116414456,0.112667147,0.116414456,0.112667147
2016,10304,0.138602158,0.136823453,0.138602158,0.136823453
2017,10304,0.156287437,0.151256641,0.156287437,0.151256641
2016,10305,0.138980378,0.137196819,0.138980378,0.137196819
2017,10305,0.15495576,0.14996783,0.15495576,0.14996783
2016,10306,0.147349946,0.145458979,0.147349946,0.145458979
2017,10306,0.162831206,0.15758977,0.162831206,0.15758977
2016,10307,0.147634419,0.145739802,0.147634419,0.145739802
2017,10307,0.163398847,0.158139139,0.163398847,0.158139139
2016,10308,0.146012524,0.144138721,0.146012524,0.144138721
2017,10308,0.161792815,0.156584805,0.161792815,0.156584805
2016,10309,0.137750162,0.135982391,0.137750162,0.135982391
2017,10309,0.152158625,0.147260733,0.152158625,0.147260733
2016,10310,0.13608201,0.134335647,0.13608201,0.134335647
2017,10310,0.149869658,0.145045447,0.149869658,0.145045447
2016,10312,0.138477455,0.136700351,0.138477455,0.136700351
2017,10312,0.152729969,0.147813686,0.152729969,0.147813686
2016,10314,0.137043893,0.135285186,0.137043893,0.135285186
2017,10314,0.151863314,0.146974928,0.151863314,0.146974928
2016,10456,0.116089552,0.114599755,0.116089552,0.114599755
2017,10456,0.126528758,0.122455876,0.126528758,0.122455876
2016,10457,0.121197366,0.11964202,0.121197366,0.11964202
2017,10457,0.129330943,0.12516786,0.129330943,0.12516786
2016,10459,0.107301222,0.105924207,0.107301222,0.105924207
2017,10459,0.115347793,0.111634819,0.115347793,0.111634819
2016,10461,0.09953648,0.098259111,0.09953648,0.098259111
2017,10461,0.099977159,0.096758956,0.099977159,0.096758956
2016,10462,0.055327022,0.054617001,0.055327022,0.054617001
2017,10462,0.060472321,0.058525754,0.060472321,0.058525754
2016,10463,0.125756157,0.124142307,0.125756157,0.124142307
2017,10463,0.136528101,0.132133346,0.136528101,0.132133346
2016,10464,0.164586077,0.162473917,0.164586077,0.162473917
2017,10464,0.170902039,0.165400808,0.170902039,0.165400808
2016,10465,0.115326195,0.113846194,0.115326195,0.113846194
2017,10465,0.122108126,0.118177541,0.122108126,0.118177541
2016,10466,0.103426619,0.102099328,0.103426619,0.102099328
2017,10466,0.102432401,0.099135165,0.102432401,0.099135165
2016,10467,0.070603612,0.069697544,0.070603612,0.069697544
2017,10467,0.073993975,0.071612155,0.073993975,0.071612155
2016,10468,0.063235838,0.062424321,0.063235838,0.062424321
2017,10468,0.076472005,0.074010418,0.076472005,0.074010418
2016,10469,0.103248086,0.101923086,0.103248086,0.101923086
2017,10469,0.108700712,0.105201704,0.108700712,0.105201704
2016,10470,0.132618911,0.13091699,0.132618911,0.13091699
2017,10470,0.137643896,0.133213224,0.137643896,0.133213224
2016,10471,0.118176758,0.116660176,0.118176758,0.116660176
2017,10471,0.114425345,0.110742064,0.114425345,0.110742064
2016,10473,0.103242058,0.101917135,0.103242058,0.101917135
2017,10473,0.112348756,0.108732319,0.112348756,0.108732319
2016,11004,0.217767088,0.214972446,0.217767088,0.214972446
2017,11004,0.241150108,0.233387635,0.241150108,0.233387635
2016,11101,0.447591231,0.441847217,0.447591231,0.441847217
2017,11101,0.467019683,0.451986609,0.467019683,0.451986609
2016,11102,0.310670949,0.306684057,0.310670949,0.306684057
2017,11102,0.387513383,0.375039567,0.387513383,0.375039567
2016,11103,0.275594565,0.272057813,0.275594565,0.272057813
2017,11103,0.327612017,0.317066389,0.327612017,0.317066389
2016,11104,0.291622056,0.287879621,0.291622056,0.287879621
2017,11104,0.347831906,0.336635412,0.347831906,0.336635412
2016,11105,0.256121867,0.252835012,0.256121867,0.252835012
2017,11105,0.288004081,0.278733408,0.288004081,0.278733408
2016,11201,0.483016749,0.476818114,0.483016749,0.476818114
2017,11201,0.50102769,0.484899918,0.50102769,0.484899918
2016,11203,0.141498475,0.139682601,0.141498475,0.139682601
2017,11203,0.157155767,0.15209702,0.157155767,0.15209702
2016,11204,0.256666375,0.253372532,0.256666375,0.253372532
2017,11204,0.274143414,0.265318907,0.274143414,0.265318907
2016,11205,0.310212661,0.30623165,0.310212661,0.30623165
2017,11205,0.333669947,0.322929317,0.333669947,0.322929317
2016,11206,0.19025102,0.187809497,0.19025102,0.187809497
2017,11206,0.213529777,0.206656386,0.213529777,0.206656386
2016,11207,0.139647185,0.137855069,0.139647185,0.137855069
2017,11207,0.146318631,0.141608724,0.146318631,0.141608724
2016,11208,0.140489506,0.138686581,0.140489506,0.138686581
2017,11208,0.156944102,0.151892169,0.156944102,0.151892169
2016,11209,0.204335232,0.201712964,0.204335232,0.201712964
2017,11209,0.233577211,0.226058505,0.233577211,0.226058505
2016,11210,0.202546822,0.199947505,0.202546822,0.199947505
2017,11210,0.227360291,0.220041704,0.227360291,0.220041704
2016,11211,0.459154224,0.45326182,0.459154224,0.45326182
2017,11211,0.471431375,0.456256291,0.471431375,0.456256291
2016,11212,0.134063234,0.132342778,0.134063234,0.132342778
2017,11212,0.154128044,0.149166758,0.154128044,0.149166758
2016,11213,0.273222269,0.269715962,0.273222269,0.269715962
2017,11213,0.30634522,0.296484157,0.30634522,0.296484157
2016,11214,0.220674751,0.217842794,0.220674751,0.217842794
2017,11214,0.23991445,0.232191752,0.23991445,0.232191752
2016,11215,0.42934993,0.42384001,0.42934993,0.42384001
2017,11215,0.469992226,0.454863467,0.469992226,0.454863467
2016,11216,0.376748183,0.37191331,0.376748183,0.37191331
2017,11216,0.403918092,0.390916218,0.403918092,0.390916218
2016,11217,0.459689826,0.453790549,0.459689826,0.453790549
2017,11217,0.494774083,0.478847611,0.494774083,0.478847611
2016,11218,0.260156291,0.256817661,0.260156291,0.256817661
2017,11218,0.274975793,0.266124492,0.274975793,0.266124492
2016,11219,0.254762277,0.25149287,0.254762277,0.25149287
2017,11219,0.291502884,0.282119587,0.291502884,0.282119587
2016,11220,0.27131744,0.267835577,0.27131744,0.267835577
2017,11220,0.267878112,0.259255281,0.267878112,0.259255281
2016,11221,0.300893835,0.297032414,0.300893835,0.297032414
2017,11221,0.326816204,0.316296193,0.326816204,0.316296193
2016,11222,0.44301064,0.43732541,0.44301064,0.43732541
2017,11222,0.461007437,0.446167893,0.461007437,0.446167893
2016,11223,0.260405953,0.257064119,0.260405953,0.257064119
2017,11223,0.277199132,0.268276263,0.277199132,0.268276263
2016,11224,0.170961315,0.16876734,0.170961315,0.16876734
2017,11224,0.183203865,0.177306646,0.183203865,0.177306646
2016,11225,0.297937477,0.294113995,0.297937477,0.294113995
2017,11225,0.317480063,0.307260576,0.317480063,0.307260576
2016,11226,0.228210763,0.225282096,0.228210763,0.225282096
2017,11226,0.247793992,0.239817657,0.247793992,0.239817657
2016,11228,0.269355756,0.265899068,0.269355756,0.265899068
2017,11228,0.288066517,0.278793834,0.288066517,0.278793834
2016,11229,0.185682465,0.183299571,0.185682465,0.183299571
2017,11229,0.238802836,0.23111592,0.238802836,0.23111592
2016,11230,0.227482366,0.224563046,0.227482366,0.224563046
2017,11230,0.247958827,0.239977186,0.247958827,0.239977186
2016,11231,0.434263131,0.428690159,0.434263131,0.428690159
2017,11231,0.455776848,0.441105674,0.455776848,0.441105674
2016,11232,0.265471414,0.262064574,0.265471414,0.262064574
2017,11232,0.294588829,0.285106197,0.294588829,0.285106197
2016,11233,0.234809876,0.231796521,0.234809876,0.231796521
2017,11233,0.265007144,0.256476728,0.265007144,0.256476728
2016,11234,0.178872312,0.176576813,0.178872312,0.176576813
2017,11234,0.191898748,0.185721646,0.191898748,0.185721646
2016,11235,0.213330778,0.210593068,0.213330778,0.210593068
2017,11235,0.225381983,0.218127077,0.225381983,0.218127077
2016,11236,0.133438879,0.131726436,0.133438879,0.131726436
2017,11236,0.142920816,0.138320283,0.142920816,0.138320283
2016,11237,0.417871163,0.412508552,0.417871163,0.412508552
2017,11237,0.443388651,0.429116245,0.443388651,0.429116245
2016,11238,0.418508803,0.413138009,0.418508803,0.413138009
2017,11238,0.444285812,0.429984527,0.444285812,0.429984527
2016,11249,0.487076254,0.480825522,0.487076254,0.480825522
2017,11249,0.50199895,0.485839914,0.50199895,0.485839914
2016,11354,0.28684868,0.283167502,0.28684868,0.283167502
2017,11354,0.316514989,0.306326568,0.316514989,0.306326568
2016,11355,0.265382656,0.261976956,0.265382656,0.261976956
