Year,ZIP Code,Zillow_value
1996,10001,
1997,10001,
1998,10001,
1999,10001,
2000,10001,
2001,10001,
2002,10001,
2003,10001,
2004,10001,0.4624707259953162
2005,10001,0.5516686182669789
2006,10001,0.6503220140515222
2007,10001,0.6730093676814989
2008,10001,0.7166276346604216
2009,10001,0.6545179547228729
2010,10001,0.6226580796252928
2011,10001,0.6473458235753319
2012,10001,0.6921350507416082
2013,10001,0.7896174863387978
2014,10001,0.8991998438719749
2015,10001,0.930598248437585
2016,10001,1.006754668011146
2017,10001,1.058229086239486
1996,10002,
1997,10002,
1998,10002,
1999,10002,
2000,10002,
2001,10002,
2002,10002,
2003,10002,
2004,10002,
2005,10002,0.5471877282688095
2006,10002,0.6422571219868517
2007,10002,0.7032505478451424
2008,10002,0.7421475529583638
2009,10002,0.6874239103968834
2010,10002,0.6782931580228877
2011,10002,0.6842585829072316
2012,10002,0.7211468224981737
2013,10002,0.7609569028487947
2014,10002,0.822254687119552
2015,10002,0.8988905107254817
2016,10002,0.995075919738636
2017,10002,1.0602732441303233
1996,10003,
1997,10003,
1998,10003,
1999,10003,
2000,10003,
2001,10003,
2002,10003,
2003,10003,
2004,10003,
2005,10003,
2006,10003,
2007,10003,
2008,10003,
2009,10003,
2010,10003,0.5768607621362145
2011,10003,0.5899562365205329
2012,10003,0.6277981315674461
2013,10003,0.7021017066090431
2014,10003,0.8874766666939568
2015,10003,1.0019884169108342
2016,10003,0.9983628254933933
2017,10003,1.127452244887993
1996,10004,
1997,10004,
1998,10004,
1999,10004,
2000,10004,
2001,10004,
2002,10004,
2003,10004,
2004,10004,
2005,10004,0.5796344939623566
2006,10004,0.6381388420787759
2007,10004,0.6934095050332104
2008,10004,0.742642549404513
2009,10004,0.757381423986676
2010,10004,0.7134694818350154
2011,10004,0.6983390566084032
2012,10004,0.6833629792342707
2013,10004,0.7581839505908617
2014,10004,0.8578470812452273
2015,10004,0.9078040418864152
2016,10004,0.9739739189509123
2017,10004,0.9630313093540216
1996,10005,
1997,10005,
1998,10005,
1999,10005,
2000,10005,
2001,10005,
2002,10005,
2003,10005,
2004,10005,0.6241721854304636
2005,10005,0.6187303035119659
2006,10005,0.6652368685141671
2007,10005,0.7082791594584913
2008,10005,0.7705814538629719
2009,10005,0.7659516136378502
2010,10005,0.7220984626345063
2011,10005,0.713094491099366
2012,10005,0.7229149303014483
2013,10005,0.7417012234154511
2014,10005,0.8196281426196564
2015,10005,0.8881621442637805
2016,10005,0.9853854059190231
2017,10005,0.9824668043249758
1996,10006,
1997,10006,
1998,10006,
1999,10006,
2000,10006,
2001,10006,
2002,10006,
2003,10006,
2004,10006,0.5804379225958487
2005,10006,0.6534177543128191
2006,10006,0.7349737152179823
2007,10006,0.8013849663131817
2008,10006,0.8869452098250702
2009,10006,0.8432813378047674
2010,10006,0.6652748496933442
2011,10006,0.6904839572192514
2012,10006,0.7636484863591044
2013,10006,0.833713246623765
2014,10006,0.897024464484907
2015,10006,0.9824743262703238
2016,10006,0.9960253464224711
2017,10006,0.9979034695851495
1996,10007,
1997,10007,
1998,10007,
1999,10007,
2000,10007,
2001,10007,
2002,10007,
2003,10007,
2004,10007,0.4790054946925242
2005,10007,0.49631744713748976
2006,10007,0.5731073535705935
2007,10007,0.6374026944164569
2008,10007,0.6773624868037538
2009,10007,0.6146115824146349
2010,10007,0.610038612597113
2011,10007,0.6556069740485583
2012,10007,0.6934812420320634
2013,10007,0.7775508716969459
2014,10007,0.8889960508848899
2015,10007,0.9740251643216039
2016,10007,1.0042085526885545
2017,10007,0.9886543831421778
1996,10009,
1997,10009,
1998,10009,
1999,10009,
2000,10009,
2001,10009,
2002,10009,
2003,10009,
2004,10009,
2005,10009,0.593642857142857
2006,10009,0.6774404761904762
2007,10009,0.7479761904761905
2008,10009,0.7972619047619047
2009,10009,0.7234523809523811
2010,10009,0.6583928571428571
2011,10009,0.6763095238095239
2012,10009,0.70375
2013,10009,0.7492857142857144
2014,10009,0.7982142857142858
2015,10009,0.8809523809523809
2016,10009,0.982410125748884
2017,10009,1.0014270345397545
1996,10010,
1997,10010,
1998,10010,
1999,10010,
2000,10010,
2001,10010,
2002,10010,
2003,10010,
2004,10010,
2005,10010,
2006,10010,
2007,10010,
2008,10010,
2009,10010,
2010,10010,
2011,10010,0.5359524868195397
2012,10010,0.576206197815674
2013,10010,0.6594825716340408
2014,10010,0.7696666604109788
2015,10010,0.9101019781786133
2016,10010,0.9589269155100525
2017,10010,1.0094166060971164
1996,10011,
1997,10011,
1998,10011,
1999,10011,
2000,10011,
2001,10011,
2002,10011,
2003,10011,
2004,10011,
2005,10011,
2006,10011,
2007,10011,
2008,10011,
2009,10011,
2010,10011,
2011,10011,
2012,10011,
2013,10011,
2014,10011,1.0354212953537765
2015,10011,1.1182272777117161
2016,10011,1.0319914256314473
2017,10011,0.9355989582628473
1996,10012,
1997,10012,
1998,10012,
1999,10012,
2000,10012,
2001,10012,
2002,10012,
2003,10012,
2004,10012,
2005,10012,
2006,10012,
2007,10012,
2008,10012,
2009,10012,
2010,10012,0.5964133937327791
2011,10012,0.6291038154392192
2012,10012,0.6866856582449913
2013,10012,0.7767477700462336
2014,10012,0.8688257911860396
2015,10012,0.932696929595731
2016,10012,1.0027686365691608
2017,10012,1.0179269912528408
1996,10013,
1997,10013,
1998,10013,
1999,10013,
2000,10013,
2001,10013,
2002,10013,
2003,10013,
2004,10013,0.5201732220633707
2005,10013,0.4945639525218606
2006,10013,0.5764094379980274
2007,10013,0.6218733029668295
2008,10013,0.688266781926389
2009,10013,0.6595432833505115
2010,10013,0.6386580000221653
2011,10013,0.687427270006982
2012,10013,0.7213263734193348
2013,10013,0.8354528931298556
2014,10013,0.9650899489323294
2015,10013,0.9819966476423617
2016,10013,1.007329103082158
2017,10013,0.9810385412468641
1996,10014,
1997,10014,
1998,10014,
1999,10014,
2000,10014,
2001,10014,
2002,10014,
2003,10014,
2004,10014,0.5612955032119915
2005,10014,0.6035421127765881
2006,10014,0.6906673804425411
2007,10014,0.6962883654532477
2008,10014,0.7638294075660242
2009,10014,0.6811206281227694
2010,10014,0.5956459671663098
2011,10014,0.6038430032912946
2012,10014,0.6247339594042235
2013,10014,0.7223534585099438
2014,10014,0.815964832419141
2015,10014,0.8980414828183255
2016,10014,0.9960817587538839
2017,10014,1.0239194338403683
1996,10016,
1997,10016,
1998,10016,
1999,10016,
2000,10016,0.6335624030148526
2001,10016,0.6134172023941477
2002,10016,0.5406783418310795
2003,10016,
2004,10016,0.6960670213552057
2005,10016,0.6779908372127393
2006,10016,0.7588025567132196
2007,10016,0.7796220350254933
2008,10016,0.8158852434789033
2009,10016,0.7436451636739821
2010,10016,0.6698066823416519
2011,10016,0.6565110395083108
2012,10016,0.7077313044632251
2013,10016,0.7634044532869555
2014,10016,0.8657114091099681
2015,10016,0.9563020436927068
2016,10016,1.0105212517012931
2017,10016,1.055754804773691
1996,10017,
1997,10017,
1998,10017,
1999,10017,
2000,10017,
2001,10017,
2002,10017,
2003,10017,
2004,10017,
2005,10017,0.7094124468496328
2006,10017,0.7752974273074774
2007,10017,0.8141777262380278
2008,10017,0.8641712837692737
2009,10017,0.7954086672679638
2010,10017,0.7251073647042198
2011,10017,0.7290698877968432
2012,10017,0.7427527479619777
2013,10017,0.8187909781767101
2014,10017,0.9134573005613668
2015,10017,0.9761685250286408
2016,10017,0.9975913863680687
2017,10017,1.102475841235634
1996,10018,
1997,10018,
1998,10018,
1999,10018,
2000,10018,
2001,10018,
2002,10018,
2003,10018,
2004,10018,0.4543514879281302
2005,10018,0.49583567284297203
2006,10018,0.5901179112857945
2007,10018,0.6648418491484184
2008,10018,0.6790660677521991
2009,10018,0.6398090960134756
2010,10018,0.6178644956017219
2011,10018,0.648512071869736
2012,10018,0.7198203256597417
2013,10018,0.7812090585813215
2014,10018,0.8497099008047915
2015,10018,0.9105635025308955
2016,10018,0.9699329461567974
2017,10018,0.9526956462041242
1996,10019,
1997,10019,
1998,10019,
1999,10019,
2000,10019,
2001,10019,
2002,10019,
2003,10019,
2004,10019,
2005,10019,
2006,10019,
2007,10019,
2008,10019,
2009,10019,
2010,10019,0.6256010680669143
2011,10019,0.6802422158723349
2012,10019,0.7567969007014802
2013,10019,0.8483206835001145
2014,10019,0.9917143941574609
2015,10019,1.0193966121475782
2016,10019,1.0103453093652306
2017,10019,0.9956470898161458
1996,10021,
1997,10021,
1998,10021,
1999,10021,
2000,10021,
2001,10021,
2002,10021,
2003,10021,
2004,10021,0.6627040454222853
2005,10021,0.6734090371421813
2006,10021,0.7709959782351551
2007,10021,0.8150579607286491
2008,10021,0.8736101253844333
2009,10021,0.7699905370238939
2010,10021,0.6784291247100819
2011,10021,0.700596224651736
2012,10021,0.732835318231439
2013,10021,0.8078024745935651
2014,10021,0.9184650702155707
2015,10021,0.9742474054997663
2016,10021,0.9835213769788119
2017,10021,0.978357446808334
1996,10022,
1997,10022,
1998,10022,
1999,10022,
2000,10022,
2001,10022,
2002,10022,
2003,10022,
2004,10022,
2005,10022,
2006,10022,
2007,10022,
2008,10022,
2009,10022,
2010,10022,
2011,10022,
2012,10022,
2013,10022,
2014,10022,
2015,10022,1.0409411519652025
2016,10022,1.007283731702165
2017,10022,1.0137090046415997
1996,10023,
1997,10023,
1998,10023,
1999,10023,
2000,10023,
2001,10023,
2002,10023,
2003,10023,
2004,10023,0.6400611620795107
2005,10023,0.6487257900101936
2006,10023,0.737716615698267
2007,10023,0.7826197757390418
2008,10023,0.8281345565749235
2009,10023,0.742558613659531
2010,10023,0.6116845324022381
2011,10023,0.6369057339303722
2012,10023,0.6959441142483082
2013,10023,0.756204664569931
2014,10023,0.8382670066475284
2015,10023,0.9281492878912401
2016,10023,0.996278577478637
2017,10023,0.9871641412033224
1996,10024,
1997,10024,
1998,10024,
1999,10024,
2000,10024,
2001,10024,
2002,10024,
2003,10024,
2004,10024,0.6303030303030303
2005,10024,0.6361391694725028
2006,10024,0.7204264870931537
2007,10024,0.73989898989899
2008,10024,0.7962962962962963
2009,10024,0.6878787878787879
2010,10024,0.6107667674950584
2011,10024,0.6557911536974664
2012,10024,0.6669430454330335
2013,10024,0.7588948208354559
2014,10024,0.848563430348479
2015,10024,0.9348063928352787
2016,10024,0.993128435553687
2017,10024,0.9754768925890978
1996,10025,
1997,10025,
1998,10025,
1999,10025,
2000,10025,
2001,10025,
2002,10025,
2003,10025,
2004,10025,0.6549884326053466
2005,10025,0.5980512357430411
2006,10025,0.6663084431218769
2007,10025,0.6601878860658112
2008,10025,0.6747398871647955
2009,10025,0.6306607772067613
2010,10025,0.6446184733800154
2011,10025,0.6508154354482749
2012,10025,0.6903267929147398
2013,10025,0.7591299044403717
2014,10025,0.8255781016595708
2015,10025,0.8977173173470557
2016,10025,0.9891508023275181
2017,10025,1.0097030723962481
1996,10026,
1997,10026,
1998,10026,0.264140213007962
1999,10026,0.2926015923896184
2000,10026,0.38612001516561545
2001,10026,0.41087615896322344
2002,10026,0.4114362527143005
2003,10026,
2004,10026,0.5121623065522352
2005,10026,0.5234932657445842
2006,10026,0.6505104074856427
2007,10026,0.6568056601884541
2008,10026,0.6965694770652894
2009,10026,0.6105837736121574
2010,10026,0.6149141723004302
2011,10026,0.6211636655489411
2012,10026,0.623771363575934
2013,10026,0.6665498963518817
2014,10026,0.7806379017114731
2015,10026,0.8707713501219803
2016,10026,0.9644273206046097
2017,10026,1.011560519083295
1996,10027,
1997,10027,
1998,10027,
1999,10027,
2000,10027,
2001,10027,
2002,10027,
2003,10027,
2004,10027,
2005,10027,
2006,10027,
2007,10027,
2008,10027,
2009,10027,
2010,10027,
2011,10027,
2012,10027,
2013,10027,0.6253059973537923
2014,10027,0.6889858877406744
2015,10027,0.8222445722796864
2016,10027,0.9595295395620029
2017,10027,0.944574610979
1996,10028,
1997,10028,
1998,10028,
1999,10028,
2000,10028,
2001,10028,
2002,10028,
2003,10028,
2004,10028,
2005,10028,
2006,10028,
2007,10028,
2008,10028,
2009,10028,
2010,10028,
2011,10028,
2012,10028,
2013,10028,
2014,10028,
2015,10028,
2016,10028,0.9638470085159757
2017,10028,0.8382683771462462
1996,10029,
1997,10029,
1998,10029,
1999,10029,
2000,10029,
2001,10029,
2002,10029,
2003,10029,
2004,10029,
2005,10029,
2006,10029,0.6698028673835126
2007,10029,0.667002688172043
2008,10029,0.7389952956989249
2009,10029,0.6461693548387099
2010,10029,0.7067372311827956
2011,10029,0.7229502688172044
2012,10029,0.7476478494623656
2013,10029,0.7826494466014225
2014,10029,0.886419609252448
2015,10029,0.9718861999312917
2016,10029,1.0014044551347265
2017,10029,1.127386203390645
1996,10030,
1997,10030,
1998,10030,
1999,10030,
2000,10030,
2001,10030,
2002,10030,
2003,10030,
2004,10030,
2005,10030,
2006,10030,
2007,10030,0.7492354740061162
2008,10030,0.7250982961992136
2009,10030,0.6584753167321976
2010,10030,0.6675404106596766
2011,10030,0.6676496286588028
2012,10030,0.6529051987767585
2013,10030,0.7080602883355177
2014,10030,0.7278287461773699
2015,10030,0.7851681957186544
2016,10030,0.9516164263870687
2017,10030,1.0519331585845346
1996,10031,
1997,10031,
1998,10031,
1999,10031,
2000,10031,
2001,10031,
2002,10031,
2003,10031,
2004,10031,
2005,10031,
2006,10031,0.6489493201483313
2007,10031,0.6412237330037083
2008,10031,0.6099093531108365
2009,10031,0.5707663782447466
2010,10031,0.5867325916769675
2011,10031,0.6255665430572723
2012,10031,0.6259785743716523
2013,10031,0.6728471363823649
2014,10031,0.7305315203955501
2015,10031,0.8050061804697157
2016,10031,0.96085702513391
2017,10031,1.0438813349814586
1996,10032,
1997,10032,
1998,10032,0.27357836338418856
1999,10032,0.3043226999537679
2000,10032,0.3819926028663892
2001,10032,0.4018723994452149
2002,10032,0.391123439667129
2003,10032,
2004,10032,0.4781553398058252
2005,10032,0.49872861766065646
2006,10032,0.5800970873786407
2007,10032,0.6450531668978271
2008,10032,0.661465557096625
2009,10032,0.6010171058714747
2010,10032,0.6181229773462783
2011,10032,0.6429727230698105
2012,10032,0.617660656495608
2013,10032,0.6612343966712898
2014,10032,0.722029588534443
2015,10032,0.8159963014331946
2016,10032,0.9680998613037449
2017,10032,1.0539181692094313
1996,10033,
1997,10033,
1998,10033,
1999,10033,
2000,10033,
2001,10033,
2002,10033,
2003,10033,
2004,10033,
2005,10033,
2006,10033,
2007,10033,
2008,10033,
2009,10033,
2010,10033,0.6832329317269077
2011,10033,0.6622740963855421
2012,10033,0.6379267068273092
2013,10033,0.6664156626506024
2014,10033,0.7259036144578314
2015,10033,0.8158885542168676
2016,10033,0.9682479919678714
2017,10033,1.0562876506024097
1996,10034,
1997,10034,
1998,10034,
1999,10034,
2000,10034,
2001,10034,
2002,10034,
2003,10034,
2004,10034,
2005,10034,
2006,10034,
2007,10034,
2008,10034,
2009,10034,
2010,10034,0.7315664288141351
2011,10034,0.678644240570846
2012,10034,0.630861365953109
2013,10034,0.7071865443425076
2014,10034,0.7882262996941897
2015,10034,0.7821100917431193
2016,10034,0.9719673802242608
2017,10034,1.0521788990825687
1996,10035,
1997,10035,
1998,10035,
1999,10035,
2000,10035,
2001,10035,
2002,10035,
2003,10035,
2004,10035,
2005,10035,
2006,10035,
2007,10035,0.6408408408408408
2008,10035,0.7140540540540541
2009,10035,0.6295495495495497
2010,10035,0.6662162162162162
2011,10035,0.6479279279279279
2012,10035,0.6568468468468468
2013,10035,0.6935135135135136
2014,10035,0.7788288288288289
2015,10035,0.8495495495495495
2016,10035,0.9775675675675676
2017,10035,1.064189189189189
1996,10036,
1997,10036,
1998,10036,
1999,10036,
2000,10036,
2001,10036,
2002,10036,
2003,10036,
2004,10036,
2005,10036,
2006,10036,
2007,10036,
2008,10036,
2009,10036,
2010,10036,
2011,10036,
2012,10036,0.7644152186486307
2013,10036,0.8017227668313419
2014,10036,0.887103511546023
2015,10036,0.9386276407124452
2016,10036,0.9826315853606261
2017,10036,1.0031340286863295
1996,10038,
1997,10038,
1998,10038,
1999,10038,
2000,10038,
2001,10038,
2002,10038,
2003,10038,
2004,10038,0.6130452781581118
2005,10038,0.6330991137011925
2006,10038,0.7241229348550551
2007,10038,0.7314208393572977
2008,10038,0.7748134983945817
2009,10038,0.7133998840002983
2010,10038,0.6975866603094012
2011,10038,0.6987931487421326
2012,10038,0.7219833159011269
2013,10038,0.7789431865399749
2014,10038,0.8653517326465362
2015,10038,0.941841134571748
2016,10038,0.9899755742798622
2017,10038,1.0476928794428826
1996,10039,
1997,10039,
1998,10039,
1999,10039,
2000,10039,
2001,10039,
2002,10039,
2003,10039,
2004,10039,0.470995670995671
2005,10039,0.4387445887445888
2006,10039,0.47056277056277057
2007,10039,0.611904761904762
2008,10039,0.7049783549783549
2009,10039,0.6607142857142857
2010,10039,0.6401515151515152
2011,10039,0.6492424242424243
2012,10039,0.643831168831169
2013,10039,0.6996753246753248
2014,10039,0.7308441558441557
2015,10039,0.7983766233766234
2016,10039,0.9696969696969697
2017,10039,1.0465909090909091
1996,10065,
1997,10065,
1998,10065,
