,ZIPCODE,2013,2014,2015,2016,2017
0,10001,4,18,34,43,50
1,10002,0,8,23,34,41
2,10003,1,26,41,57,66
3,10004,1,8,13,16,17
4,10005,2,3,7,10,12
5,10006,0,2,2,2,3
6,10007,2,7,11,12,15
7,10009,2,5,12,17,17
8,10010,2,11,20,25,26
9,10011,0,15,32,39,44
10,10012,0,11,25,34,43
11,10013,1,18,33,45,55
12,10014,1,19,28,30,33
13,10016,0,6,17,21,24
14,10017,1,25,35,39,41
15,10018,2,10,17,22,31
16,10019,1,16,33,38,40
17,10020,0,1,1,2,3
18,10021,2,8,11,13,16
19,10022,2,13,21,28,32
20,10023,1,8,14,17,21
21,10024,1,8,12,14,14
22,10025,1,11,15,17,21
23,10026,1,2,4,5,6
24,10027,0,6,10,11,13
25,10028,0,5,11,13,15
26,10029,0,1,5,6,8
27,10030,0,1,2,2,3
28,10031,0,1,6,8,8
29,10032,0,3,5,5,5
30,10033,1,2,2,2,3
31,10034,0,0,3,3,3
32,10035,0,0,1,2,2
33,10036,1,20,31,39,43
34,10038,3,8,13,19,20
35,10039,0,0,1,1,1
36,10040,0,1,1,2,2
37,10044,0,1,1,1,1
38,10065,0,5,12,15,15
39,10075,1,5,6,6,7
40,10103,0,0,1,1,1
41,10104,0,1,1,1,1
42,10105,0,1,1,1,1
43,10107,0,1,1,1,1
44,10112,0,1,1,1,1
45,10118,0,1,1,2,2
46,10119,1,2,3,3,3
47,10128,0,3,7,10,13
48,10154,0,0,0,1,1
49,10155,0,0,0,0,1
50,10158,0,0,0,0,1
51,10166,0,0,0,0,1
52,10168,0,0,1,1,1
53,10169,0,0,1,1,1
54,10173,0,0,1,1,1
55,10270,0,0,0,1,1
56,10281,0,0,2,3,5
57,10282,0,0,0,0,2
58,10301,0,1,2,2,2
59,10304,0,0,0,2,2
60,10305,0,1,1,1,2
61,10306,0,0,1,1,3
62,10307,0,0,1,1,1
63,10309,1,1,3,4,4
64,10310,0,1,1,1,1
65,10314,0,1,6,6,6
66,10451,0,1,2,2,2
67,10454,0,0,0,1,1
68,10456,0,0,1,1,1
69,10457,0,0,1,1,1
70,10458,1,5,5,13,13
71,10460,0,0,1,1,1
72,10461,0,5,7,8,8
73,10462,1,3,5,5,5
74,10463,1,2,3,3,3
75,10464,0,0,0,3,3
76,10465,0,3,4,5,6
77,10467,0,2,3,3,3
78,10468,0,2,2,2,2
79,10469,0,1,1,2,2
80,10472,0,0,0,1,1
81,10474,0,2,2,2,3
82,10475,0,1,1,1,1
83,11004,0,1,1,1,1
84,11101,0,8,12,16,18
85,11102,0,2,4,7,8
86,11103,1,6,13,16,21
87,11104,0,1,2,2,3
88,11105,0,4,6,7,8
89,11106,0,2,3,5,6
90,11109,0,1,1,1,1
91,11201,1,15,23,29,35
92,11203,0,2,3,3,3
93,11204,0,4,7,8,8
94,11205,0,6,9,11,13
95,11206,0,7,9,10,12
96,11207,0,0,1,2,2
97,11208,0,0,1,1,1
98,11209,1,5,8,12,13
99,11210,0,1,2,3,5
100,11211,0,18,24,31,34
101,11212,0,0,1,3,3
102,11213,0,0,0,2,3
103,11214,0,5,7,9,11
104,11215,1,15,23,31,34
105,11216,0,5,7,16,21
106,11217,0,10,10,11,13
107,11218,0,2,2,5,6
108,11220,0,6,10,13,14
109,11221,0,6,9,14,17
110,11222,0,9,19,24,25
111,11223,0,2,5,8,9
112,11224,0,1,1,1,1
113,11225,0,2,4,8,10
114,11226,0,3,4,4,5
115,11228,0,0,0,1,1
116,11229,0,2,4,5,5
117,11230,0,1,3,3,3
118,11231,1,4,10,11,12
119,11232,0,3,3,3,7
120,11233,0,0,3,6,8
121,11234,0,1,2,2,3
122,11235,0,2,2,2,5
123,11236,0,1,1,1,1
124,11237,0,4,11,14,16
125,11238,0,10,14,20,23
126,11241,0,0,0,1,1
127,11249,0,8,15,20,22
128,11354,0,9,14,19,20
129,11355,0,2,3,5,6
130,11356,0,0,1,2,2
131,11357,0,0,1,1,1
132,11358,0,1,5,7,9
133,11361,0,4,4,6,6
134,11362,0,0,1,2,4
135,11365,0,0,1,2,2
136,11366,0,0,0,0,1
137,11368,0,4,4,4,4
138,11369,0,2,3,3,3
139,11372,1,3,4,7,7
140,11373,0,7,10,12,13
141,11374,0,0,0,3,3
142,11375,0,5,6,8,10
143,11377,0,3,8,8,9
144,11378,0,0,0,0,1
145,11379,0,1,1,1,1
146,11385,0,7,17,20,23
147,11414,0,0,1,1,1
148,11415,0,0,1,1,2
149,11416,0,1,1,1,1
150,11418,0,1,1,2,3
151,11419,0,0,0,1,1
152,11421,0,0,0,0,1
153,11422,0,0,1,1,1
154,11426,0,1,1,1,1
155,11428,0,1,1,1,1
156,11430,3,4,10,10,11
157,11432,1,2,5,5,5
158,11433,0,1,2,2,2
159,11434,0,1,1,1,1
160,11435,0,0,0,1,1
161,11691,0,0,0,0,1
162,11694,0,0,0,1,1
