Zip_Code,Job_Type,MONTH,YEAR,f0_
11023,DM,10,2013,1
11024,A2,3,2015,8
10001,A1,2,2017,1
10001,A1,10,2016,1
10001,DM,5,2015,1
10001,DM,11,2013,1
10001,NB,8,2017,1
10001,NB,9,2015,1
10001,A1,9,2016,1
10001,DM,10,2013,1
10001,A1,5,2015,1
10001,A1,5,2017,1
10001,NB,2,2016,1
10001,DM,4,2014,1
10001,DM,1,2016,1
10001,NB,12,2015,1
10001,A1,2,2015,1
10001,DM,7,2014,1
10001,DM,9,2013,1
10001,NB,10,2014,1
10001,DM,6,2014,1
10001,NB,4,2017,1
10001,DM,9,2014,1
10001,A1,12,2013,1
10001,NB,6,2017,1
10001,DM,7,2017,2
10001,NB,7,2016,2
10001,NB,11,2014,2
10001,A1,7,2015,2
10001,NB,2,2017,2
10001,DM,2,2014,2
10001,DM,3,2014,2
10001,DM,12,2015,2
10001,NB,10,2013,2
10001,DM,5,2016,2
10001,NB,9,2017,2
10001,NB,9,2016,2
10001,DM,2,2015,2
10001,A1,12,2016,2
10001,A1,12,2015,2
10001,DM,4,2016,2
10001,DM,8,2013,2
10001,DM,9,2015,2
10001,DM,4,2015,2
10001,DM,1,2014,2
10001,A1,7,2016,2
10001,A1,2,2016,2
10001,NB,4,2015,2
10001,DM,5,2013,3
10001,A1,4,2016,3
10001,DM,6,2013,3
10001,A1,8,2015,3
10001,DM,7,2013,3
10001,A1,2,2014,3
10001,A1,7,2013,3
10001,A1,1,2015,3
10001,A1,10,2013,3
10001,NB,1,2014,3
10001,NB,10,2016,3
10001,DM,12,2013,3
10001,A1,5,2016,3
10001,NB,11,2016,3
10001,NB,7,2014,3
10001,A1,3,2015,3
10001,A1,4,2014,3
10001,DM,10,2016,3
10001,DM,6,2016,3
10001,NB,6,2014,3
10001,A1,11,2015,4
10001,A1,6,2014,4
10001,NB,12,2016,4
10001,A1,7,2017,4
10001,A1,9,2013,4
10001,A1,9,2017,4
10001,NB,5,2017,4
10001,NB,5,2013,4
10001,A1,8,2013,4
10001,A1,3,2014,4
10001,A1,10,2015,4
10001,A1,6,2015,4
10001,A1,1,2016,4
10001,A1,11,2016,4
10001,A1,5,2013,4
10001,NB,6,2013,4
10001,A1,5,2014,4
10001,NB,10,2015,5
10001,DM,2,2017,5
10001,A1,3,2017,5
10001,A1,1,2017,5
10001,A1,10,2014,5
10001,NB,2,2015,5
10001,A1,8,2014,5
10001,NB,8,2013,5
10001,A1,11,2013,5
10001,A1,4,2015,5
10001,NB,3,2015,5
10001,NB,8,2016,5
10001,NB,8,2014,6
10001,A1,8,2017,6
10001,A1,8,2016,6
10001,NB,2,2014,6
10001,A1,9,2015,6
10001,NB,7,2015,7
10001,A1,7,2014,7
10001,NB,3,2014,7
10001,NB,7,2017,7
10001,NB,7,2013,7
10001,A1,6,2017,7
10001,A1,3,2016,7
10001,A1,9,2014,7
10001,DM,3,2016,8
10001,DM,8,2016,9
10001,NB,1,2016,9
10001,NB,4,2016,10
10001,NB,11,2013,11
10001,NB,12,2013,12
10001,NB,9,2014,12
10001,NB,12,2014,12
10001,A1,6,2013,13
10001,DM,11,2016,13
10001,A1,12,2014,15
10001,NB,5,2014,15
10001,A2,4,2013,17
10001,A2,1,2015,50
10001,A2,8,2016,50
10001,A2,9,2017,51
10001,A2,11,2016,57
10001,A2,6,2016,57
10001,A2,11,2015,57
10001,A2,3,2016,67
10001,A2,10,2016,67
10001,A2,7,2016,70
10001,A2,12,2016,70
10001,A2,5,2014,70
10001,A2,4,2017,71
10001,A2,5,2017,73
10001,A2,11,2014,74
10001,A2,8,2015,74
10001,A2,4,2016,75
10001,A2,4,2014,76
10001,A2,1,2017,76
10001,A2,2,2016,78
10001,A2,1,2016,78
10001,A2,2,2015,79
10001,A2,6,2017,81
10001,A2,7,2014,82
10001,A2,12,2015,82
