Zip Code,Filing Year,Job Type,Count
10001,1990,A1,6
10001,1990,A2,151
10001,1990,DM,0
10001,1990,NB,0
10001,1991,A1,17
10001,1991,A2,341
10001,1991,DM,1
10001,1991,NB,0
10001,1992,A1,17
10001,1992,A2,359
10001,1992,DM,1
10001,1992,NB,0
10001,1993,A1,17
10001,1993,A2,407
10001,1993,DM,0
10001,1993,NB,0
10001,1994,A1,19
10001,1994,A2,434
10001,1994,DM,3
10001,1994,NB,3
10001,1995,A1,26
10001,1995,A2,406
10001,1995,DM,1
10001,1995,NB,0
10001,1996,A1,17
10001,1996,A2,428
10001,1996,DM,1
10001,1996,NB,0
10001,1997,A1,11
10001,1997,A2,444
10001,1997,DM,3
10001,1997,NB,1
10001,1998,A1,22
10001,1998,A2,508
10001,1998,DM,0
10001,1998,NB,1
10001,1999,A1,22
10001,1999,A2,579
10001,1999,DM,3
10001,1999,NB,3
10001,2000,A1,30
10001,2000,A2,659
10001,2000,DM,5
10001,2000,NB,4
10001,2001,A1,42
10001,2001,A2,600
10001,2001,DM,8
10001,2001,NB,5
10001,2002,A1,36
10001,2002,A2,616
10001,2002,DM,7
10001,2002,NB,3
10001,2003,A1,48
10001,2003,A2,604
10001,2003,DM,1
10001,2003,NB,3
10001,2004,A1,33
10001,2004,A2,610
10001,2004,DM,8
10001,2004,NB,4
10001,2005,A1,43
10001,2005,A2,707
10001,2005,DM,6
10001,2005,NB,4
10001,2006,A1,30
10001,2006,A2,637
10001,2006,DM,14
10001,2006,NB,4
10001,2007,A1,23
10001,2007,A2,676
10001,2007,DM,33
10001,2007,NB,7
10001,2008,A1,26
10001,2008,A2,622
10001,2008,DM,14
10001,2008,NB,11
10001,2009,A1,17
10001,2009,A2,580
10001,2009,DM,7
10001,2009,NB,2
10001,2010,A1,30
10001,2010,A2,622
10001,2010,DM,2
10001,2010,NB,1
10001,2011,A1,27
10001,2011,A2,811
10001,2011,DM,18
10001,2011,NB,3
10001,2012,A1,30
10001,2012,A2,856
10001,2012,DM,10
10001,2012,NB,9
10001,2013,A1,34
10001,2013,A2,957
10001,2013,DM,13
10001,2013,NB,6
10001,2014,A1,26
10001,2014,A2,1084
10001,2014,DM,21
10001,2014,NB,16
10001,2015,A1,35
10001,2015,A2,1051
10001,2015,DM,12
10001,2015,NB,14
10001,2016,A1,32
10001,2016,A2,980
10001,2016,DM,13
10001,2016,NB,3
10001,2017,A1,18
10001,2017,A2,880
10001,2017,DM,26
10001,2017,NB,12
10001,1989,A1,0
10001,1989,A2,0
10001,1989,DM,0
10001,1989,NB,0
10002,1990,A1,7
10002,1990,A2,66
10002,1990,DM,0
10002,1990,NB,0
10002,1991,A1,26
10002,1991,A2,187
10002,1991,DM,2
10002,1991,NB,3
10002,1992,A1,23
10002,1992,A2,140
10002,1992,DM,3
10002,1992,NB,1
10002,1993,A1,16
10002,1993,A2,189
10002,1993,DM,4
10002,1993,NB,2
10002,1994,A1,33
10002,1994,A2,138
10002,1994,DM,2
10002,1994,NB,1
10002,1995,A1,22
10002,1995,A2,201
10002,1995,DM,3
10002,1995,NB,3
10002,1996,A1,30
10002,1996,A2,175
10002,1996,DM,1
10002,1996,NB,2
10002,1997,A1,28
10002,1997,A2,222
10002,1997,DM,1
10002,1997,NB,2
10002,1998,A1,37
10002,1998,A2,242
10002,1998,DM,2
10002,1998,NB,12
10002,1999,A1,37
10002,1999,A2,277
10002,1999,DM,3
10002,1999,NB,5
10002,2000,A1,46
10002,2000,A2,289
10002,2000,DM,3
10002,2000,NB,10
10002,2001,A1,36
10002,2001,A2,363
10002,2001,DM,7
10002,2001,NB,11
10002,2002,A1,41
10002,2002,A2,385
10002,2002,DM,2
10002,2002,NB,2
10002,2003,A1,37
10002,2003,A2,378
10002,2003,DM,2
10002,2003,NB,3
10002,2004,A1,38
10002,2004,A2,385
10002,2004,DM,6
10002,2004,NB,6
10002,2005,A1,36
10002,2005,A2,416
10002,2005,DM,7
10002,2005,NB,9
10002,2006,A1,34
10002,2006,A2,419
10002,2006,DM,10
10002,2006,NB,7
10002,2007,A1,32
10002,2007,A2,450
10002,2007,DM,15
10002,2007,NB,8
10002,2008,A1,26
10002,2008,A2,508
10002,2008,DM,10
10002,2008,NB,8
10002,2009,A1,25
10002,2009,A2,434
10002,2009,DM,11
10002,2009,NB,4
10002,2010,A1,23
10002,2010,A2,443
10002,2010,DM,3
10002,2010,NB,3
10002,2011,A1,18
10002,2011,A2,464
10002,2011,DM,0
