Zip_Code,MONTH,YEAR,COUNT
11020,4,2006,1
11020,12,2006,1
10001,6,2006,213
10001,9,2006,282
10001,8,2006,233
10001,3,2006,225
10001,12,2006,286
10001,7,2006,282
10001,10,2006,286
10001,4,2006,238
10001,1,2006,229
10001,11,2006,250
10001,5,2006,231
10001,2,2006,184
10002,5,2006,170
10002,1,2006,173
10002,4,2006,168
10002,12,2006,128
10002,2,2006,164
10002,3,2006,201
10002,7,2006,154
10002,9,2006,197
10002,10,2006,192
10002,11,2006,154
10002,6,2006,215
10002,8,2006,198
10003,4,2006,171
10003,2,2006,154
10003,8,2006,171
10003,6,2006,203
10003,12,2006,194
10003,9,2006,211
10003,5,2006,177
10003,7,2006,193
10003,1,2006,175
10003,3,2006,199
10003,10,2006,202
10003,11,2006,194
10004,4,2006,12
10004,6,2006,13
10004,10,2006,11
10004,11,2006,17
10004,7,2006,18
10004,1,2006,20
10004,3,2006,17
10004,9,2006,17
10004,12,2006,25
10004,8,2006,22
10004,5,2006,19
10004,2,2006,10
10005,6,2006,11
10005,4,2006,10
10005,12,2006,13
10005,10,2006,15
10005,5,2006,11
10005,8,2006,14
10005,11,2006,10
10005,2,2006,4
10005,1,2006,13
10005,7,2006,6
10005,3,2006,8
10005,9,2006,15
10006,4,2006,6
10006,3,2006,10
10006,1,2006,12
10006,7,2006,4
10006,2,2006,4
10006,8,2006,5
10006,11,2006,12
10006,5,2006,16
10006,12,2006,11
10006,6,2006,6
10006,10,2006,16
10006,9,2006,12
10007,11,2006,20
10007,7,2006,34
10007,3,2006,23
10007,5,2006,40
10007,2,2006,23
10007,10,2006,26
10007,1,2006,41
10007,12,2006,43
10007,4,2006,23
10007,8,2006,32
10007,6,2006,35
10007,9,2006,32
10009,2,2006,85
10009,7,2006,104
10009,12,2006,88
10009,6,2006,117
10009,9,2006,123
10009,5,2006,110
10009,4,2006,102
10009,10,2006,131
10009,8,2006,109
10009,11,2006,96
10009,3,2006,109
10009,1,2006,109
10010,10,2006,106
10010,11,2006,100
10010,8,2006,84
10010,3,2006,86
10010,1,2006,74
10010,5,2006,84
10010,9,2006,104
10010,4,2006,67
10010,2,2006,85
10010,7,2006,93
10010,6,2006,90
10010,12,2006,89
10011,6,2006,163
10011,10,2006,211
10011,4,2006,176
10011,12,2006,150
10011,2,2006,133
10011,5,2006,163
10011,9,2006,189
10011,3,2006,188
10011,7,2006,183
10011,8,2006,171
10011,11,2006,154
10011,1,2006,168
10012,5,2006,120
10012,6,2006,108
10012,3,2006,96
10012,4,2006,102
10012,11,2006,114
10012,7,2006,115
10012,8,2006,138
10012,10,2006,124
10012,12,2006,135
10012,9,2006,89
10012,2,2006,109
10012,1,2006,105
10013,3,2006,85
10013,6,2006,81
10013,12,2006,83
10013,11,2006,88
10013,2,2006,69
10013,7,2006,102
10013,5,2006,100
10013,10,2006,106
10013,4,2006,97
10013,8,2006,97
10013,9,2006,84
10013,1,2006,82
10014,12,2006,135
10014,2,2006,95
10014,1,2006,107
10014,10,2006,128
10014,9,2006,107
10014,5,2006,97
10014,6,2006,108
10014,11,2006,117
10014,3,2006,92
10014,4,2006,105
10014,7,2006,131
10014,8,2006,131
10016,4,2006,121
10016,11,2006,114
10016,9,2006,128
10016,2,2006,93
10016,5,2006,116
10016,3,2006,107
10016,10,2006,141
10016,8,2006,140
10016,6,2006,133
10016,7,2006,130
10016,1,2006,124
10016,12,2006,95
11040,12,2006,4
11040,5,2006,3
11040,8,2006,4
11040,9,2006,6
11040,6,2006,8
11040,3,2006,5
11040,11,2006,4
11040,2,2006,7
11040,4,2006,1
11040,1,2006,5
11040,10,2006,5
11040,7,2006,2
10017,5,2006,84
10017,12,2006,74
10017,6,2006,60
10017,10,2006,78
10017,4,2006,66
10017,3,2006,72
10017,1,2006,88
10017,11,2006,70
10017,7,2006,75
10017,8,2006,97
10017,2,2006,62
10017,9,2006,77
10018,6,2006,144
10018,1,2006,139
10018,10,2006,123
10018,2,2006,142
10018,9,2006,124
10018,5,2006,133
10018,4,2006,127
10018,7,2006,139
10018,12,2006,127
10018,3,2006,139
10018,11,2006,137
10018,8,2006,127
10019,4,2006,111
10019,9,2006,145
10019,10,2006,151
10019,1,2006,140
10019,3,2006,140
10019,8,2006,162
10019,7,2006,153
10019,5,2006,110
10019,2,2006,136
10019,12,2006,173
10019,6,2006,151
10019,11,2006,172
10020,11,2006,11
10020,1,2006,3
10020,10,2006,3
10020,7,2006,19
10020,8,2006,4
10020,2,2006,3
10020,9,2006,18
10020,6,2006,4
10020,3,2006,4
10020,5,2006,6
10020,4,2006,15
10020,12,2006,15
10021,3,2006,42
10021,1,2006,37
10021,9,2006,40
10021,6,2006,46
10021,2,2006,41
10021,11,2006,44
10021,7,2006,52
10021,8,2006,37
10021,12,2006,48
10021,4,2006,50
10021,5,2006,50
10021,10,2006,42
11557,12,2006,1
10022,8,2006,117
10022,6,2006,99
10022,12,2006,136
10022,3,2006,99
10022,10,2006,114
10022,1,2006,106
10022,4,2006,96
10022,9,2006,100
10022,7,2006,103
10022,5,2006,108
10022,2,2006,84
10022,11,2006,102
10278,10,2006,2
10278,8,2006,1
10023,11,2006,102
10023,5,2006,68
10023,7,2006,95
10023,1,2006,94
10023,4,2006,84
10023,12,2006,76
10023,8,2006,73
10023,9,2006,91
10023,6,2006,99
10023,3,2006,96
10023,2,2006,77
10023,10,2006,112
10279,11,2006,1
10024,10,2006,111
10024,11,2006,100
10024,5,2006,99
10024,7,2006,67
10024,9,2006,115
10024,2,2006,70
10024,8,2006,74
10024,1,2006,85
10024,12,2006,74
10024,6,2006,88
10024,3,2006,80
10024,4,2006,82
10280,2,2006,3
10280,10,2006,5
10280,9,2006,6
10280,5,2006,6
10280,1,2006,1
10280,8,2006,9
10280,11,2006,3
10280,6,2006,3
10280,4,2006,2
10280,12,2006,1
10280,3,2006,6
10280,7,2006,6
10025,6,2006,154
10025,8,2006,146
10025,7,2006,189
10025,4,2006,151
10025,2,2006,144
10025,3,2006,149
10025,12,2006,168
10025,9,2006,158
10025,10,2006,195
10025,1,2006,126
10025,11,2006,147
10025,5,2006,187
10281,5,2006,1
10026,2,2006,125
10026,10,2006,108
10026,11,2006,125
10026,7,2006,146
10026,6,2006,157
10026,4,2006,166
10026,1,2006,166
10026,8,2006,161
10026,5,2006,159
10026,3,2006,122
10026,12,2006,122
10026,9,2006,144
10282,4,2006,3
10282,11,2006,10
10282,2,2006,2
10282,3,2006,6
10282,5,2006,11
10282,1,2006,6
10282,8,2006,8
10282,10,2006,7
10282,6,2006,8
10282,12,2006,7
10282,9,2006,6
10282,7,2006,7
10027,11,2006,251
10027,9,2006,278
10027,6,2006,233
10027,8,2006,216
10027,4,2006,188
10027,10,2006,257
10027,1,2006,228
10027,3,2006,196
10027,7,2006,231
10027,2,2006,162
10027,12,2006,213
10027,5,2006,198
10028,12,2006,72
10028,1,2006,67
10028,9,2006,60
10028,11,2006,52
10028,4,2006,43
10028,7,2006,55
10028,6,2006,70
10028,5,2006,66
10028,2,2006,47
10028,3,2006,45
10028,10,2006,72
10028,8,2006,57
10029,10,2006,235
10029,11,2006,279
10029,7,2006,240
10029,4,2006,219
10029,2,2006,167
10029,1,2006,205
10029,12,2006,241
10029,6,2006,280
10029,8,2006,242
10029,5,2006,232
10029,9,2006,227
10029,3,2006,217
10030,12,2006,90
10030,11,2006,112
10030,5,2006,120
10030,3,2006,126
10030,10,2006,133
10030,9,2006,119
10030,6,2006,149
10030,1,2006,121
10030,8,2006,118
10030,2,2006,101
10030,4,2006,115
10030,7,2006,134
10031,6,2006,182
10031,10,2006,199
10031,8,2006,203
10031,2,2006,119
10031,11,2006,165
10031,4,2006,169
10031,9,2006,179
10031,7,2006,198
10031,1,2006,150
10031,12,2006,165
10031,5,2006,186
10031,3,2006,166
10032,3,2006,160
10032,9,2006,163
10032,4,2006,130
10032,7,2006,136
10032,2,2006,131
10032,1,2006,126
10032,12,2006,115
