ZipCode,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08
10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37529274,0.397540984,0.421545667,0.443793911,0.463700234,0.482435597,0.4970726,0.506440281,0.516393443,0.520491803,0.518735363,0.516393443,0.521662763,0.526346604,0.530444965,0.536299766,0.545081967,0.553278689,0.566744731,0.584894614,0.603629977,0.616510539,0.62529274,0.631147541,0.638173302,0.643442623,0.648711944,0.652224824,0.653395785,0.653981265,0.656908665,0.662177986,0.669203747,0.669203747,0.663348946,0.657494145,0.656908665,0.657494145,0.660421546,0.666276347,0.676229508,0.683255269,0.683840749,0.68442623,0.68911007,0.697306792,0.706088993,0.715456674,0.720725995,0.723067916,0.722482436,0.720140515,0.717798595,0.717213115,0.717798595,0.717798595,0.713700234,0.707259953,0.701405152,0.697892272,0.692622951,0.680913349,0.668032787,0.655152225,0.642271663,0.632903981,0.628220141,0.62412178,0.618852459,0.611826698,0.604215457,0.601288056,0.605386417,0.610655738,0.618266979,0.62587822,0.631147541,0.634074941,0.634074941,0.633489461,0.634660422,0.638758782,0.639929742,0.638173302,0.635831382,0.636416862,0.638758782,0.639929742,0.642271663,0.646955504,0.653395785,0.660421546,0.666276347,0.669789227,0.672131148,0.672716628,0.673887588,0.678571429,0.683255269,0.68793911,0.694379391,0.700819672,0.704332553,0.707845433,0.711358314,0.718384075,0.725995316,0.737704918,0.75175644,0.765807963,0.774004684,0.782201405,0.791569087,0.802693208,0.81557377,0.828454333,0.841334895,0.858313817,0.87763466,0.889344262,0.895199063,0.899882904,0.904566745,0.903981265,0.899882904,0.897540984,0.898711944,0.903981265,0.909250585,0.910421546,0.909836066,0.909836066,0.901735308,0.909049904,0.911602636,0.923686906,0.93161812,0.938323909,0.93891617,0.960446126,0.966483346,0.965644425,0.959248289,0.966372091,0.980801686,0.968784638,0.977051364,0.975733636,0.976167194,1,1.039548066,1.06960384,1.081250352,1.086494858,1.090057036,1.066336966,1.055106874,1.051574336,1.033696897,1.053138908,1.059927183,1.055994491
10002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.530314098,0.527392257,0.520818115,0.521548576,0.528122717,0.5376187,0.551497443,0.569028488,0.587289993,0.598246896,0.604090577,0.607012418,0.612125639,0.621621622,0.631848064,0.637691746,0.643535427,0.651570489,0.661066472,0.668371074,0.679327977,0.688823959,0.6917458,0.688093499,0.688093499,0.690284879,0.69393718,0.699780862,0.710007305,0.716581446,0.715850986,0.712929145,0.715120526,0.716581446,0.720964207,0.728268809,0.737764792,0.745069394,0.750913075,0.752373996,0.746530314,0.745069394,0.748721695,0.750182615,0.744338934,0.735573411,0.727538349,0.725346969,0.722425128,0.715120526,0.704894083,0.69247626,0.679327977,0.667640614,0.656683711,0.650840029,0.650109569,0.656683711,0.663988313,0.667640614,0.669831994,0.674945215,0.678597516,0.680788897,0.680788897,0.681519357,0.683710738,0.684441198,0.685902118,0.687363039,0.685902118,0.683710738,0.684441198,0.682980278,0.681519357,0.681519357,0.684441198,0.685171658,0.683710738,0.684441198,0.686632579,0.686632579,0.688823959,0.69393718,0.699780862,0.706355004,0.713659606,0.718042367,0.721694668,0.72899927,0.738495252,0.746530314,0.748721695,0.748721695,0.749452155,0.750913075,0.745799854,0.741417093,0.742147553,0.747260774,0.753104456,0.761869978,0.772826881,0.783053324,0.789627465,0.794010226,0.797662527,0.796932067,0.796932067,0.804967129,0.810810811,0.815193572,0.823959094,0.831263696,0.836376917,0.8458729,0.853177502,0.853907962,0.853907962,0.854638422,0.856829803,0.864134405,0.878743608,0.893352812,0.903579255,0.909422936,0.915997078,0.921110299,0.965049984,0.969919563,0.966589787,0.971875557,0.963829085,0.960695002,0.973384792,0.991165608,0.995034959,1,1.034145115,1.021754448,1.026377302,1.036059381,1.037072422,1.062648887,1.06787486,1.062910381,1.056340147,1.056934838,1.067429771,1.070974647
10003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.571688391,0.562823878,0.574472993,0.609745137,0.596389593,0.598501347,0.596389593,0.584826,0.553834491,0.565241203,0.554125015,0.554291504,0.554178028,0.525707692,0.582691599,0.574763822,0.584531193,0.570359501,0.561159418,0.559989329,0.627087149,0.645122841,0.619840286,0.674043981,0.666246784,0.677164273,0.647713696,0.618551534,0.613860975,0.611548706,0.613860975,0.615063354,0.600264837,0.596970606,0.641763675,0.630568164,0.580243677,0.576254244,0.607664096,0.695472931,0.707561809,0.712428596,0.768384526,0.741941663,0.750548517,0.725696497,0.767589734,0.791434191,0.792777685,0.769325445,0.85735789,0.87007351,0.879861523,0.897887536,0.903594218,0.924290695,0.922186984,0.901784617,0.954530665,0.976049233,0.999221106,0.999117083,0.999325128,0.988618254,0.97824362,0.996691252,1.001527495,1.025687293,1.011369474,1.007662163,1.013303254,1.003094881,1.038182157,1.023972346,0.961178174,0.987211302,0.9309565,0.9309565,0.930103408,1,1.024512701,1.026918936,1.063180941,1.063180941,1.074798757,1.108545068,1.137181106,1.141759455,1.152783011,1.133120611,1.130393111,1.14103684
10004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.580891894,0.573243188,0.567438366,0.56723349,0.566004234,0.566755446,0.578424196,0.586745925,0.599107836,0.610500364,0.614469384,0.614259295,0.622814833,0.633219469,0.635023995,0.628281065,0.627206901,0.635625855,0.65148864,0.664383063,0.668317937,0.662575667,0.65363644,0.652146783,0.657203262,0.665033652,0.677276959,0.692885083,0.704030506,0.710728864,0.71665229,0.725609497,0.733211289,0.732499436,0.727718995,0.729048347,0.734772109,0.738896221,0.743858346,0.749797409,0.753569108,0.756058896,0.753208611,0.745675111,0.738393928,0.740713514,0.75239719,0.765948471,0.771278118,0.7709841,0.764619647,0.758846101,0.758570063,0.757839701,0.751525031,0.74640026,0.745743403,0.744425004,0.747848373,0.746307284,0.726671051,0.717385404,0.706574569,0.704536234,0.698963733,0.701422663,0.693980044,0.695515532,0.712541562,0.709887332,0.708657491,0.709300597,0.716804866,0.720003888,0.713199317,0.70790034,0.692602775,0.68668498,0.682735449,0.689936401,0.678546835,0.67369574,0.661052859,0.668645639,0.675759236,0.675247485,0.685245816,0.690848255,0.688195525,0.682803247,0.684910036,0.69090981,0.695901449,0.700836395,0.702044893,0.718327086,0.730947965,0.737809462,0.750702104,0.755264852,0.760418775,0.772362093,0.781595025,0.796902251,0.792247794,0.799585106,0.805014643,0.83101746,0.831181882,0.836810189,0.855528144,0.864295661,0.876844704,0.875242272,0.875217931,0.875808399,0.885101572,0.882102117,0.881235492,0.86969214,0.868666589,0.880652752,0.887624979,0.885697947,0.893245324,0.915866354,0.946655899,0.953083256,0.950594741,0.960633031,0.967368224,0.968940509,0.968350094,0.965452859,0.952982397,0.961363766,0.977841572,1,0.99539918,0.977306182,0.973908293,0.978773952,0.979463767,0.971559215,0.963783476,0.959357433,0.95552791,0.953075841,0.956490038,0.964992795
10005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.619573216,0.627667403,0.631346578,0.618101545,0.596762325,0.590139809,0.598357477,0.60656373,0.614267865,0.622445709,0.624536356,0.625955915,0.629573481,0.633704231,0.638330825,0.644125919,0.64931781,0.653210138,0.661481138,0.664413411,0.657194052,0.647295048,0.648782491,0.655802902,0.666543534,0.682324427,0.697225786,0.699251686,0.693860848,0.689706394,0.686523062,0.683076035,0.688231587,0.700094881,0.713957235,0.722427182,0.72501681,0.727053777,0.732406707,0.736995394,0.741146711,0.749717744,0.764011194,0.778055154,0.78689145,0.786653027,0.781075877,0.776566142,0.772095882,0.767320884,0.768159373,0.775284008,0.781213302,0.78185755,0.778573132,0.773433353,0.7645039,0.760071548,0.758942524,0.757892451,0.758235097,0.761350545,0.765950299,0.749395664,0.745846214,0.738870013,0.732328135,0.730956524,0.731070412,0.709610963,0.70460171,0.711606456,0.715132741,0.721129862,0.714004252,0.71002427,0.714381116,0.70584499,0.706738751,0.711406797,0.709918623,0.708251267,0.714752003,0.717940057,0.719974356,0.713458175,0.716367022,0.718100735,0.719641558,0.717286759,0.718863232,0.713708599,0.724205136,0.720204783,0.725266459,0.721173754,0.722447425,0.721275794,0.731537177,0.739368487,0.74441527,0.745686928,0.745315159,0.734940531,0.733358036,0.728322645,0.733703797,0.736233352,0.736435784,0.742938226,0.75940463,0.759660324,0.77651557,0.781732665,0.797945144,0.79840767,0.80978089,0.822948755,0.826134015,0.824304251,0.836990848,0.846536409,0.855890158,0.858351337,0.857199602,0.862971301,0.863683681,0.86044902,0.869328637,0.874495812,0.88882072,0.88789869,0.9041716,0.919929172,0.93225056,0.936746936,0.943280404,0.952673287,0.968501818,0.980038866,0.988841636,0.988414947,0.99205084,1,1.007415164,1.005101798,1.001899571,0.996406541,0.991583433,0.986048797,0.9875084,0.987552712,0.985463236,0.980660877,0.97309438,0.967822599
10006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479529412,0.501764706,0.523058824,0.555882353,0.586588235,0.618941176,0.624020212,0.633804042,0.641350585,0.639439681,0.623917701,0.616841747,0.625164416,0.629096166,0.629390284,0.634498504,0.647747213,0.655460799,0.664671531,0.682702076,0.708237469,0.723285145,0.727361099,0.720676063,0.718552706,0.726349678,0.735602103,0.738936191,0.737964742,0.732414484,0.730329104,0.739780839,0.752879634,0.758837941,0.761822804,0.767407323,0.771948156,0.780714855,0.794445572,0.800259676,0.799836491,0.80765431,0.81875111,0.827853621,0.838994109,0.846931569,0.84921626,0.855115744,0.867353032,0.875119732,0.880136862,0.888174839,0.898806762,0.908803045,0.913349588,0.911076317,0.898689114,0.897501224,0.907212816,0.912057192,0.901114022,0.882848183,0.866732258,0.860050938,0.849122904,0.82525741,0.804403335,0.790463881,0.778733164,0.741379951,0.695480196,0.672240914,0.673470498,0.674423094,0.675519895,0.670946796,0.662950512,0.657109852,0.651504487,0.646819451,0.647290039,0.655542464,0.663703798,0.6684211,0.669185806,0.669009336,0.665618417,0.666865132,0.676231487,0.691603553,0.711863682,0.728856249,0.735146651,0.739302275,0.744292849,0.744224599,0.747129792,0.755917339,0.760490438,0.761181184,0.765401341,0.771092087,0.77272401,0.772302819,0.777101786,0.791923593,0.811092631,0.823436146,0.826168585,0.825809934,0.826419016,0.827215988,0.827286232,0.829532947,0.837726548,0.847460981,0.854992386,0.867417565,0.884062902,0.892423548,0.886070606,0.884440678,0.891651409,0.895721653,0.890651409,0.902764697,0.904557096,0.918871909,0.905926276,0.90715139,0.929045558,0.955404472,0.939275152,0.948723553,0.976348542,0.990764868,1.005665676,1.013854207,1.020795957,1.018509516,1.002141717,0.989162698,0.986513546,1.011973058,1.00668267,1.000642346,0.98758877,0.988999091,0.993440135,1,0.997762957,0.993572236,0.991627792,0.993501558,0.985535498,0.987203386,0.993786284,0.997180727,1.000896743,1.005403365,1.010578128,1.002643625
10007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.414426424,0.433903577,0.447752351,0.470043694,0.495519514,0.520884248,0.501217526,0.50684164,0.502904549,0.496561423,0.488527008,0.480825853,0.47935331,0.481291304,0.481486353,0.482201101,0.488234664,0.495518597,0.503100057,0.511841905,0.524633684,0.538795529,0.549045653,0.550030803,0.551105934,0.555661773,0.562592637,0.566978418,0.570175391,0.569945904,0.577687975,0.593932043,0.61266565,0.617466062,0.613786419,0.609696868,0.612986414,0.62428584,0.636669007,0.645103424,0.649366919,0.649208899,0.646409338,0.649716102,0.654664629,0.656938473,0.658008881,0.662218128,0.664321456,0.666209925,0.672962959,0.681376271,0.685502851,0.687675513,0.688705006,0.688880245,0.688612434,0.683876174,0.672754577,0.660420935,0.649895686,0.635440201,0.619697317,0.608430196,0.600888357,0.594689459,0.58962855,0.584308439,0.578664973,0.5805203,0.590121124,0.600479744,0.605705988,0.610294132,0.61363663,0.615707652,0.615632299,0.61497439,0.612121877,0.610204988,0.612947711,0.618636815,0.622576955,0.625996101,0.631776481,0.637522424,0.642318113,0.647891407,0.655074158,0.664721917,0.677397428,0.686967243,0.688985313,0.686056151,0.685510623,0.684906125,0.685319919,0.687934336,0.692554328,0.692174135,0.692038515,0.695440442,0.699303934,0.699594146,0.700162074,0.706836327,0.718809586,0.732328151,0.74300022,0.753165086,0.760655269,0.76803307,0.780098901,0.791314365,0.79950939,0.811844328,0.828646419,0.843205676,0.854629522,0.863819143,0.873686484,0.884398173,0.893084477,0.895952078,0.893700634,0.893058649,0.896774025,0.903345802,0.908275815,0.907227808,0.901723848,0.900020523,0.90110815,0.898833469,0.976486554,0.979633787,0.986407418,1.005792312,1.013078807,1.041423785,1.043617864,1.040175456,1.040004382,1.038197732,1.015138251,0.986312404,0.979343242,0.984920852,0.994646257,1,1.002835568,0.999274582,1.005640425,1.004188937,0.998779586,1.001890722,0.991265094,0.990548501,0.978918861,0.984434138,0.984538621,0.978859543
10009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.564285714,0.563571429,0.564285714,0.57,0.580714286,0.592142857,0.605714286,0.618571429,0.632857143,0.644285714,0.652142857,0.654285714,0.657857143,0.665,0.672142857,0.676428571,0.678571429,0.68,0.683571429,0.691428571,0.705,0.712857143,0.715714286,0.72,0.729285714,0.735,0.740714286,0.747142857,0.753571429,0.757857143,0.760714286,0.766428571,0.771428571,0.777857143,0.783571429,0.790714286,0.795714286,0.801428571,0.808571429,0.813571429,0.810714286,0.805714286,0.8,0.792857143,0.784285714,0.78,0.778571429,0.776428571,0.766428571,0.753571429,0.735714286,0.718571429,0.705,0.696428571,0.690714286,0.689285714,0.692142857,0.678571429,0.652142857,0.64,0.646428571,0.652142857,0.659285714,0.663571429,0.664285714,0.665,0.665714286,0.664285714,0.662857143,0.665,0.667142857,0.667857143,0.669285714,0.672142857,0.670714286,0.67,0.673571429,0.679285714,0.684285714,0.687142857,0.686428571,0.687857143,0.692142857,0.694285714,0.696428571,0.7,0.700714286,0.699285714,0.700714286,0.703571429,0.709285714,0.714285714,0.715714286,0.718571429,0.725714286,0.731428571,0.731428571,0.73,0.734285714,0.740714286,0.747142857,0.753571429,0.764285714,0.772142857,0.777142857,0.783571429,0.792142857,0.791428571,0.786428571,0.783571429,0.787857143,0.797857143,0.805714286,0.807142857,0.805714286,0.804285714,0.804285714,0.812142857,0.824285714,0.836428571,0.844285714,0.852142857,0.865714286,0.882142857,0.895714286,0.903571429,0.909285714,0.912857143,0.918571429,0.926428571,0.938571429,0.951428571,0.960714286,0.966428571,0.974285714,0.982142857,0.988521443,1,1.006515648,1.0050694,1.005358041,1.00988555,1.006920503,0.999668595,0.997547911,1.000047911,0.996779678,1.002277645,1.00212469,1.006049343
10010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535952487,0.535952487,0.536827927,0.518619386,0.545416492,0.560249,0.581763264,0.596447173,0.592898962,0.592224603,0.582286924,0.599739542,0.596971513,0.611029588,0.605752996,0.611766149,0.630286831,0.607689935,0.620942641,0.641543872,0.682354551,0.687216472,0.722468952,0.701912093,0.697202103,0.704654265,0.749463631,0.725365229,0.715562742,0.709518745,0.738241593,0.777123452,0.777123452,0.771070516,0.807824,0.789125358,0.824873734,0.850707473,0.867968774,0.869127503,0.885751521,0.887746902,0.898079911,0.898486958,0.910818633,0.948520625,0.958036584,0.938645614,0.933385868,0.924654845,0.919949096,0.927039494,0.952580968,0.933030065,0.927972052,0.929340667,0.955143548,1,0.988356836,0.96473685,1.003218518,1.005754892,0.993545724,0.997961575,1.025751687,0.986253914,1.007790051,1.001688976,1.024004712,1.038336211
10011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.002672007,0.999769874,1.002873427,0.989373179,1.031104084,1.029315874,1.059228289,1.07038907,1.071833887,1.097653261,1.077502547,1.120896972,1.113624414,1.095271494,1.107561683,1.111947237,1.098913346,1.137187673,1.13680691,1.131156783,1.137568437,1.150289836,1.111595466,1.09935499,1.100977035,1.115105708,1.02807886,1.010810811,1.003789536,1,0.990454195,0.9724873,0.982185385,0.969057821,0.953655961,0.949937279,0.952523334,0.936227601,0.927441649,0.932058051,0.922165365,0.910782426
