ZIP,Borough,Neighborhood,Year,Total Adjusted Gross Income (IRS),Number of Returns (IRS),AGI,AGI_num,Median HH Income ($),Mean HH Income ($),Median Home Value ($/sq. foot),% Employed,% Unemployed,% Not in Labor Force,Bordering Water,Number of Subway Stations in ZIP,Stops in ZIP,Number of Subway Lines Serving ZIP,Lines Serving ZIP,Number of Parks,Number of Playgrounds,Park Acreage,LandSqMile,Latitude,Longitude,adjacentZIP,Price_Index,Color,Probability,IncomeLow,IncomeHigh,HouseLow,HouseHigh
10464,Bronx,Southeast Bronx,2006,"$133,518,000 ","2,017","$66,196 ",66196,,,,,,,Y,,,,,3,0,14.241,3.5,40.867787,-73.79992,10465,1.24,green,98,44350.42332,66478.2646,0.893471665,1.130588767
10464,Bronx,Southeast Bronx,2007,"$143,936,000 ","2,224","$64,719 ",64719,,,,,,,Y,,,,,3,0,14.241,3.5,40.867787,-73.79992,10465,1.19,green,98,43326.83186,63664.85351,0.892759679,1.135458269
11692,Queens,Rockaways,2007,"$220,396,000 ","7,765","$28,383 ",28383,,,,,,,Y,2,"Beach 67 St, Beach 60 St",1,A,9,0,108.417,1,40.594095,-73.792896,"11693, 11691",1.18,green,98,43326.83186,63664.85351,0.892759679,1.135458269
10463,Bronx,Kingsbridge and Riverdale,2008,"$1,764,906,000 ","31,592","$55,866 ",55866,,,,,,,Y,3,"238 St, 231 St, Marble Hill - 225 St",1,1,15,1,35.109,1.4,40.880678,-73.90654,"10471, 10468",1.16,green,98,44541.41962,64579.99543,0.890607641,1.042492584
11414,Queens,Southwest Queens,2006,"$718,852,000 ","12,702","$56,594 ",56594,,,,,,,Y,1,Howard Beach - JFK Airport,1,A,5,0,12.659,2.3,40.657604,-73.844804,11417,1.15,green,98,44350.42332,66478.2646,0.893471665,1.130588767
11420,Queens,Southwest Queens,2007,"$698,111,000 ","20,406","$34,211 ",34211,,,,,,,N,,,,,9,0,16.202,2.1,40.673583,-73.81773,"11417, 11419, 11435, 11436",1.15,green,98,43326.83186,63664.85351,0.892759679,1.135458269
11691,Queens,Rockaways,2007,"$704,750,000 ","23,433","$30,075 ",30075,,,,,,,Y,4,"Beach 44 St, Beach 36 St, Beach 25 St, Far Rockaway - Mott Av",1,A,16,0,81.202,2.8,40.601278,-73.761651,11692,1.13,green,98,43326.83186,63664.85351,0.892759679,1.135458269
11414,Queens,Southwest Queens,2007,"$774,684,000 ","13,877","$55,825 ",55825,,,,,,,Y,1,Howard Beach - JFK Airport,1,A,5,0,12.659,2.3,40.657604,-73.844804,11417,1.13,green,98,43326.83186,63664.85351,0.892759679,1.135458269
11411,Queens,Southeast Queens,2007,"$444,536,000 ","10,396","$42,760 ",42760,,,,,,,N,,,,,3,0,8.72,1.2,40.694021,-73.736216,"11429, 11412, 11413, 11422",1.13,green,98,43326.83186,63664.85351,0.892759679,1.135458269
11419,Queens,Southwest Queens,2007,"$589,025,000 ","19,986","$29,472 ",29472,,,,,,,N,2,"111 St, Ozone Park - Lefferts Blvd",1,A,2,0,4.56,1.1,40.688673,-73.822918,"11420, 11417, 11416, 11418, 11435",1.12,green,98,43326.83186,63664.85351,0.892759679,1.135458269
11691,Queens,Rockaways,2008,"$725,564,000 ","20,552","$35,304 ",35304,,,,,,,Y,4,"Beach 44 St, Beach 36 St, Beach 25 St, Far Rockaway - Mott Av",1,A,16,0,81.202,2.8,40.601278,-73.761651,11692,1.12,green,98,44541.41962,64579.99543,0.890607641,1.042492584
10011,Manhattan,Chelsea and Clinton,2015,"$9,492,315,000 ","30,300","$313,278 ",313278,"$109,818.00 ","$196,817.00 ","$1,737.80 ",73.30%,3.80%,22.90%,Y,8,"8 Av, 6 Av, 23 St, 14 St, 14 St, 23 St, 18 St, 14 St",8,"L, C, E, A, F, M, 1, 2",2,3,11.736,0.7,40.742039,-74.00062,"10001, 10010, 10003, 10012, 10014",1.12,green,98,46874.6,69680,0.890887346,0.913241778
11433,Queens,Jamaica,2007,"$395,109,000 ","13,865","$28,497 ",28497,,,,,,,N,1,Jamaica Center - Parsons/Archer,3,"E, J, Z",12,0,31.89,1.6,40.698162,-73.786893,"11434, 11412, 11423, 11432, 11435",1.12,green,98,43326.83186,63664.85351,0.892759679,1.135458269
10463,Bronx,Kingsbridge and Riverdale,2009,"$1,708,852,000 ","31,844","$53,663 ",53663,,,,,,,Y,3,"238 St, 231 St, Marble Hill - 225 St",1,1,15,1,35.109,1.4,40.880678,-73.90654,"10471, 10468",1.11,green,98,43818.55709,64797.35987,0.83252179,0.960932841
11422,Queens,Southeast Queens,2007,"$616,072,000 ","14,765","$41,725 ",41725,,,,,,,Y,,,,,2,0,2.81,2,40.66006,-73.736012,"11413, 11411",1.11,green,98,43326.83186,63664.85351,0.892759679,1.135458269
11693,Queens,Rockaways,2006,"$208,006,000 ","4,931","$42,183 ",42183,,,,,,,Y,3,"Broad Channel, Beach 90 St, Beach 98 St",2,"A, S",9,0,37.224,1,40.590692,-73.809749,"11694, 11692",1.11,green,98,44350.42332,66478.2646,0.893471665,1.130588767
11692,Queens,Rockaways,2008,"$239,482,000 ","7,468","$32,068 ",32068,,,,,,,Y,2,"Beach 67 St, Beach 60 St",1,A,9,0,108.417,1,40.594095,-73.792896,"11693, 11691",1.11,red,22,44541.41962,64579.99543,0.890607641,1.042492584
10471,Bronx,Kingsbridge and Riverdale,2010,"$1,062,579,000 ","10,140","$104,791 ",104791,,,,,,,Y,1,Van Cortlandt Park - 242 St,1,1,7,0,30.961,2.6,40.898868,-73.903328,"10470, 10467, 10463",1.1,red,22,44081.30464,64251.15544,0.791133741,0.921456724
11413,Queens,Southeast Queens,2007,"$801,452,000 ","19,647","$40,793 ",40793,,,,,,,N,,,,,7,0,32.667,3.1,40.671659,-73.752568,"11422, 11411, 11412, 11434",1.1,red,22,43326.83186,63664.85351,0.892759679,1.135458269
11694,Queens,Rockaways,2006,"$633,720,000 ","8,202","$77,264 ",77264,,,,,,,Y,2,"Beach 105 St, Rockaway Park - Beach 116 St",3,"A, S, 6",12,0,229.724,1.4,40.57827,-73.844762,"11697, 11693",1.09,red,22,44350.42332,66478.2646,0.893471665,1.130588767
11436,Queens,Jamaica,2007,"$272,100,000 ","8,325","$32,685 ",32685,,,,,,,N,,,,,4,0,8.957,0.8,40.675807,-73.796622,"11420, 11435, 11434",1.09,red,22,43326.83186,63664.85351,0.892759679,1.135458269
11693,Queens,Rockaways,2007,"$229,500,000 ","5,940","$38,636 ",38636,,,,,,,Y,3,"Broad Channel, Beach 90 St, Beach 98 St",2,"A, S",9,0,37.224,1,40.590692,-73.809749,"11694, 11692",1.09,red,22,43326.83186,63664.85351,0.892759679,1.135458269
10463,Bronx,Kingsbridge and Riverdale,2006,"$1,672,018,000 ","30,776","$54,329 ",54329,,,,,,,Y,3,"238 St, 231 St, Marble Hill - 225 St",1,1,15,1,35.109,1.4,40.880678,-73.90654,"10471, 10468",1.09,red,22,44350.42332,66478.2646,0.893471665,1.130588767
11691,Queens,Rockaways,2006,"$638,694,000 ","19,600","$32,586 ",32586,,,,,,,Y,4,"Beach 44 St, Beach 36 St, Beach 25 St, Far Rockaway - Mott Av",1,A,16,0,81.202,2.8,40.601278,-73.761651,11692,1.09,red,22,44350.42332,66478.2646,0.893471665,1.130588767
10471,Bronx,Kingsbridge and Riverdale,2011,"$1,043,382,000 ","9,936","$105,010 ",105010,"$72,431.00 ","$104,139.00 ",$386.72 ,55.30%,4.00%,40.70%,Y,1,Van Cortlandt Park - 242 St,1,1,7,0,30.961,2.6,40.898868,-73.903328,"10470, 10467, 10463",1.08,red,22,43502.16391,62963.96339,0.749871815,0.846616676
10462,Bronx,Southeast Bronx,2009,"$1,367,862,000 ","36,262","$37,722 ",37722,,,,,,,N,5,"Zerega Av, Castle Hill Av, Parkchester, Bronx Park East, Morris Park",1,5,9,0,6.961,1.5,40.84328,-73.860389,"10465, 10472, 10460, 10467, 10461",1.08,red,22,43818.55709,64797.35987,0.83252179,0.960932841
11692,Queens,Rockaways,2006,"$203,815,000 ","6,696","$30,438 ",30438,,,,,,,Y,2,"Beach 67 St, Beach 60 St",1,A,9,0,108.417,1,40.594095,-73.792896,"11693, 11691",1.08,red,22,44350.42332,66478.2646,0.893471665,1.130588767
