ZIP,Borough,Neighborhood,Year,Total Adjusted Gross Income (IRS),Number of Returns (IRS),AGI_raw,AGI,AGI_num,AdjacentIncome,Median HH Income ($),Mean HH Income ($),Median Home Value ($/sq. foot),% Employed,% Unemployed,% Not in Labor Force,Bordering Water,Number of Subway Stations in ZIP,Stops in ZIP,Number of Subway Lines Serving ZIP,Lines Serving ZIP,Number of Parks,Number of Playgrounds,Park Acreage,LandSqMile,Latitude,Longitude,adjacentZIP,Zillow_value,ZillowAdj,Zillow_value2,Price_Index,AdjacentZillow2,Proximity,Coffees,NewCoffees,A1,A2,DM,NB,CRIME_COUNT,Color,Probability,IncomeLow,IncomeHigh,HouseLow,HouseHigh
10001,Manhattan,Chelsea and Clinton,2001,"$884,714,000 ","8,607","$102,790.00","$137,509.81",137509.8059,306856.96,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",,0,0,0,0,0.006202142,,,,,,,,green,98,52061.08675,80382.83593,0,0
10001,Manhattan,Chelsea and Clinton,2002,"$787,935,000 ","8,489","$92,818.00","$122,214.10",122214.0964,259898.84,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",,0,0,0,0,0.006202142,,,,,,,,green,98,51446.63339,78836.50594,0,0
10001,Manhattan,Chelsea and Clinton,2004,"$976,187,000 ","11,553","$84,496.00","$105,895.91",105895.9054,227954.86,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.462470726,0.579598516,0,0,0,0.006202142,,,,,,,,green,98,43532.17044,63267.33923,0,0
10001,Manhattan,Chelsea and Clinton,2005,"$1,134,868,000 ","11,508","$98,616.00","$119,528.06",119528.0576,283165.54,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.551668618,0.66865294,0.551668618,0.66865294,0.71,0.006202142,,,,,,,,green,98,43487.57892,64127.4283,0.822550449,0.978768815
10001,Manhattan,Chelsea and Clinton,2006,"$1,385,158,000 ","11,962","$115,797.00","$136,000.37",136000.3699,285514.51,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.650322014,0.763785197,0.650322014,0.763785197,0.79,0.006202142,,,,,,,2939,green,98,44350.42332,66478.2646,0.893471665,1.130588767
10001,Manhattan,Chelsea and Clinton,2007,"$1,831,938,000 ","13,575","$134,949.00","$154,176.91",154176.9101,330519.7,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.673009368,0.768901621,0.673009368,0.768901621,0.82,0.006202142,,,,,,,2749,green,98,43326.83186,63664.85351,0.892759679,1.135458269
10001,Manhattan,Chelsea and Clinton,2008,"$1,541,045,000 ","12,534","$122,949.00","$135,324.78",135324.7752,249423.64,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.716627635,0.788761792,0.716627635,0.788761792,0.83,0.006202142,,,,,,,2569,green,98,44541.41962,64579.99543,0.890607641,1.042492584
10001,Manhattan,Chelsea and Clinton,2009,"$1,644,776,000 ","12,393","$132,718.00","$146,663.76",146663.7562,224795.26,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.654517955,0.723293463,0.654517955,0.723293463,0.76,0.006202142,,,,,,,2250,green,98,43818.55709,64797.35987,0.83252179,0.960932841
10001,Manhattan,Chelsea and Clinton,2010,"$1,699,184,000 ","13,202","$128,707.00","$139,991.43",139991.4251,278320.88,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.62265808,0.677249815,0.62265808,0.677249815,0.69,0.006202142,,,,,,,2229,green,98,44081.30464,64251.15544,0.791133741,0.921456724
10001,Manhattan,Chelsea and Clinton,2011,"$1,764,658,000 ","13,590","$129,850.00","$136,855.27",136855.2693,247612.13,"$67,795.00 ","$121,403.00 ","$1,105.67 ",65.60%,6.30%,28.10%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.647345824,0.682269442,0.647345824,0.682269442,0.64,0.006202142,,,,,,,2115,green,98,43502.16391,62963.96339,0.749871815,0.846616676
