ZIP,Borough,Neighborhood,Year,Total Adjusted Gross Income (IRS),Number of Returns (IRS),AGI_raw,AGI,AGI_num,AdjacentIncome,Median HH Income ($),Mean HH Income ($),Median Home Value ($/sq. foot),% Employed,% Unemployed,% Not in Labor Force,Bordering Water,Number of Subway Stations in ZIP,Stops in ZIP,Number of Subway Lines Serving ZIP,Lines Serving ZIP,Number of Parks,Number of Playgrounds,Park Acreage,LandSqMile,Latitude,Longitude,adjacentZIP,Zillow_value,Zillow_value2,ZillowAdj,Price_Index,AdjacentZillow2,Proximity,Coffees,NewCoffees,CRIME_COUNT,A1,A2,DM,NB,Color,Probability,IncomeLow,IncomeHigh,HouseLow,HouseHigh
10001,Manhattan,Chelsea and Clinton,2001,"$884,714,000 ","8,607",102790,"$137,510",137510,306856.96,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",,,,,,0.006202142,,,,42,600,8,5,green,98,52061.08675,80382.83593,0,0
10001,Manhattan,Chelsea and Clinton,2002,"$787,935,000 ","8,489",92818,"$122,214",122214,259898.84,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",,,,,,0.006202142,,,,36,616,7,3,green,98,51446.63339,78836.50594,0,0
10001,Manhattan,Chelsea and Clinton,2004,"$976,187,000 ","11,553",84496,"$105,896",105896,227954.86,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.422858672,,0.529954103,,,0.006202142,,,,33,610,8,4,green,98,43532.17044,63267.33923,0,0
10001,Manhattan,Chelsea and Clinton,2005,"$1,134,868,000 ","11,508",98616,"$119,528",119528,283165.54,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.504416488,0.504416488,0.61138074,0.61138074,0.49,0.006202142,,,,43,707,6,4,green,98,43487.57892,64127.4283,0.822550449,0.978768815
10001,Manhattan,Chelsea and Clinton,2006,"$1,385,158,000 ","11,962",115797,"$136,000",136000,285514.51,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.594619914,0.594619914,0.698364623,0.698364623,0.55,0.006202142,,,2939,30,637,14,4,green,98,44350.42332,66478.2646,0.893471665,1.130588767
10001,Manhattan,Chelsea and Clinton,2007,"$1,831,938,000 ","13,575",134949,"$154,177",154177,330519.7,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.615364026,0.615364026,0.70304281,0.70304281,0.57,0.006202142,,,2749,23,676,33,7,green,98,43326.83186,63664.85351,0.892759679,1.135458269
10001,Manhattan,Chelsea and Clinton,2008,"$1,541,045,000 ","12,534",122949,"$135,325",135325,249423.64,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.655246253,0.655246253,0.721201896,0.721201896,0.58,0.006202142,,,2569,26,622,14,11,green,98,44541.41962,64579.99543,0.890607641,1.042492584
10001,Manhattan,Chelsea and Clinton,2009,"$1,644,776,000 ","12,393",132718,"$146,664",146664,224795.26,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.59845646,0.59845646,0.661341132,0.661341132,0.53,0.006202142,,,2250,17,580,7,2,green,98,43818.55709,64797.35987,0.83252179,0.960932841
10001,Manhattan,Chelsea and Clinton,2010,"$1,699,184,000 ","13,202",128707,"$139,991",139991,278320.88,,,,,,,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.569325482,0.569325482,0.619241266,0.619241266,0.5,0.006202142,,,2229,30,622,2,1,green,98,44081.30464,64251.15544,0.791133741,0.921456724
10001,Manhattan,Chelsea and Clinton,2011,"$1,764,658,000 ","13,590",129850,"$136,855",136855,247612.13,"$67,795.00 ","$121,403.00 ","$1,105.67 ",65.60%,6.30%,28.10%,Y,6,"34 St - Herald Sq, 28 St, 34 St - Penn Station, 34 St - Herald Sq, 34 St - Penn Station, 28 St",13,"N, Q, R, W, A, C, E, B, D, F, M, 1, 2",4,1,5.239,0.6,40.750633,-73.997177,"10018, 10016, 10010, 10011",0.591898644,0.591898644,0.623830946,0.623830946,0.48,0.006202142,,,2115,27,811,18,3,green,98,43502.16391,62963.96339,0.749871815,0.846616676
