LAT_TRIM,LON_TRIM,Zip Code,crime_count
40.499,-74.2444,10307,1
40.4997,-74.2408,10307,1
40.5002,-74.2448,10307,2
40.5004,-74.2439,10307,1
40.5007,-74.2422,10307,1
40.5011,-74.2403,10307,1
40.502,-74.2493,10307,1
40.5024,-74.2349,10307,2
40.5027,-74.2457,10307,2
40.5028,-74.2518,10307,1
40.5031,-74.2439,10307,1
40.5032,-74.2383,10307,1
40.5032,-74.2319,10307,2
40.5036,-74.2412,10307,1
40.5038,-74.2403,10307,1
40.5041,-74.2452,10307,1
40.5042,-74.2509,10307,1
40.5044,-74.2501,10307,1
40.5047,-74.2397,10307,1
40.5059,-74.243,10307,2
40.506,-74.2501,10307,1
40.5062,-74.2349,10307,1
40.5065,-74.2507,10307,1
40.5077,-74.2301,10307,2
40.5077,-74.2238,10309,1
40.5079,-74.2465,10307,1
40.5086,-74.2392,10307,1
40.5087,-74.2328,10307,1
40.5088,-74.2333,10307,1
40.5088,-74.2227,10309,5
40.5091,-74.2469,10307,1
40.5092,-74.2306,10307,2
40.5093,-74.242,10307,1
40.5097,-74.2475,10307,1
40.51,-74.2482,10307,1
40.51,-74.2437,10307,1
40.51,-74.2397,10307,1
40.5101,-74.2494,10307,1
40.5101,-74.2479,10307,1
40.5102,-74.2431,10307,1
40.5102,-74.238,10307,1
40.5105,-74.2483,10307,3
40.5105,-74.2141,10309,1
40.5109,-74.2446,10307,1
40.5109,-74.2336,10307,1
40.5111,-74.2525,10307,2
40.5112,-74.2413,10307,3
40.5113,-74.2366,10307,1
40.5114,-74.2521,10307,1
40.5114,-74.2435,10307,1
40.5114,-74.2249,10309,1
40.5115,-74.2406,10307,1
40.5115,-74.2384,10307,1
40.5116,-74.2493,10307,19
40.5117,-74.2104,10309,2
40.5118,-74.2453,10307,1
40.512,-74.2498,10307,5
40.5121,-74.2476,10307,1
40.5124,-74.2501,10307,1
40.5124,-74.2443,10307,1
40.5125,-74.2486,10307,1
40.5127,-74.2438,10307,1
40.5128,-74.2371,10307,1
40.5132,-74.2022,10309,1
40.5133,-74.2003,10309,1
40.5133,-74.1957,10309,1
40.5134,-74.2453,10307,1
40.5136,-74.24,10307,1
40.5137,-74.2448,10307,1
40.5139,-74.2113,10309,1
40.5141,-74.2432,10307,2
40.5144,-74.2063,10309,1
40.5145,-74.2397,10307,1
40.5146,-74.2374,10307,2
40.5147,-74.2044,10309,1
40.5148,-74.2485,10307,7
40.5148,-74.2465,10307,1
40.5149,-74.2427,10307,1
40.515,-74.2367,10307,1
40.5151,-74.1961,10309,1
40.5152,-74.236,10307,1
40.5153,-74.1943,10309,1
40.5156,-74.2035,10309,1
40.5156,-74.1955,10309,1
40.5157,-74.2337,10307,1
40.516,-74.2369,10307,1
40.5162,-74.1977,10309,1
40.5164,-74.2379,10307,1
40.5166,-74.2326,10309,1
40.5166,-74.1969,10309,7
40.5171,-74.202,10309,1
40.5171,-74.1941,10309,1
40.5172,-74.2319,10309,1
40.5173,-74.2341,10307,7
40.5176,-74.2036,10309,1
40.5191,-74.1971,10309,2
40.5196,-74.1985,10309,1
40.5197,-74.1967,10309,1
40.5198,-74.2203,10309,1
40.5198,-74.2131,10309,1
40.5198,-74.2091,10309,1
40.5205,-74.1976,10309,1
40.5206,-74.2103,10309,1
40.5208,-74.207,10309,1
40.5208,-74.2047,10309,2
40.5209,-74.2351,10309,1
40.5212,-74.214,10309,1
40.5213,-74.2105,10309,1
40.5216,-74.1844,10312,1
40.5218,-74.217,10309,1
40.5219,-74.2221,10309,1
40.522,-74.2137,10309,1
40.5222,-74.2097,10309,1
40.5223,-74.235,10309,5
40.5224,-74.2289,10309,1
40.5224,-74.2167,10309,2
40.5225,-74.2208,10309,1
40.5225,-74.2167,10309,1
40.5226,-74.19,10312,1
40.5228,-74.1993,10309,1
40.5229,-74.2164,10309,2
40.5231,-74.2175,10309,2
40.5231,-74.1885,10312,1
40.5232,-74.2392,10309,1
40.5235,-74.18,10312,1
40.5236,-74.2288,10309,1
40.5236,-74.21600000000002,10309,3
40.5236,-74.1872,10312,2
40.5237,-74.2045,10309,2
40.524,-74.2149,10309,1
40.524,-74.1861,10312,2
40.5242,-74.2348,10309,1
40.5245,-74.2004,10309,2
40.5246,-74.2005,10309,1
40.5247,-74.203,10309,2
40.5249,-74.2006,10309,6
40.525,-74.2156,10309,1
40.5253,-74.2125,10309,1
40.5254,-74.2186,10309,1
40.5254,-74.2116,10309,1
40.5255,-74.2156,10309,1
40.5256,-74.2055,10309,1
40.5259,-74.2028,10309,1
40.5261,-74.1803,10312,1
40.5261,-74.1672,10312,1
40.5262,-74.2019,10309,1
40.5263,-74.2074,10309,1
40.5263,-74.2015,10309,1
40.5264,-74.2053,10309,1
40.5264,-74.1794,10312,1
40.5267,-74.2074,10309,1
40.5267,-74.1737,10312,1
40.5267,-74.1661,10312,1
