Zip Code,maxlat,maxlon,minlat,minlon
7030,40.7173,-73.9657,40.677,-73.9955
7306,40.6899,-73.9804,40.6899,-73.9804
7307,40.7095,-73.9848,40.7006,-73.994
7648,40.9114,-73.8966,40.9114,-73.8966
10001,40.8245,-73.9369,40.7435,-74.0076
10002,40.7243,-73.9752,40.7094,-74.0054
10003,40.7394,-73.9799,40.7233,-73.997
10004,40.7101,-73.9898,40.7012,-74.0165
10005,40.709,-73.9878,40.6993,-74.0115
10006,40.7118,-74.0079,40.7055,-74.0155
10007,40.7165,-74.0005,40.7101,-74.0138
10009,40.7432,-73.9727,40.7191,-73.9926
10010,40.7448,-73.9733,40.7327,-73.9948
10011,40.7504,-73.9912,40.7311,-74.0085
10012,40.7314,-73.9917,40.7139,-74.0065
10013,40.7274,-73.9946,40.7089,-74.0132
10014,40.7418,-73.9994,40.727,-74.0109
10016,40.7522,-73.9704,40.7388,-73.9877
10017,40.7576,-73.9659,40.7482,-73.9816
10018,40.7604,-73.9814,40.732,-74.0025
10019,40.7716,-73.9729,40.7593,-73.9966
10020,40.7643,-73.9739,40.7576,-73.9818
10021,40.7747,-73.9507,40.7654,-73.9684
10022,40.7649,-73.9586,40.7464,-73.9818
10023,40.7832,-73.9737,40.7684,-73.9902
10024,40.7927,-73.9629,40.7734,-73.9842
10025,40.8089,-73.9585,40.7885,-73.9768
10026,40.8175,-73.9451,40.7977,-73.9598
10027,40.8202,-73.9402,40.8036,-73.9655
10028,40.7819,-73.9443,40.7714,-73.9648
10029,40.8357,-73.9058,40.7838,-73.9574
10030,40.824,-73.9355,40.8128,-73.9482
10031,40.8327,-73.94,40.7675,-73.9622
10032,40.8562,-73.9269,40.8179,-73.9495
10033,40.866,-73.9275,40.8274,-73.9496
10034,40.8757,-73.9084,40.8589,-73.9309
10035,40.8124,-73.9213,40.733,-73.9846
10036,40.8006,-73.9582,40.7535,-74.0018
10037,40.8204,-73.9342,40.8079,-73.9424
10038,40.714,-73.9961,40.7028,-74.0119
10039,40.8329,-73.9347,40.8208,-73.9443
10040,40.8668,-73.9222,40.8457,-73.9373
10041,40.6656,-73.9455,40.6366,-74.0242
10044,40.7709,-73.9419,40.7517,-73.9648
10065,40.7702,-73.9537,40.7587,-73.9723
10069,40.7805,-73.9873,40.7722,-73.9918
10075,40.7777,-73.9478,40.7695,-73.9654
10080,40.7122,-74.0139,40.7101,-74.0158
10105,40.7627,-73.9784,40.7627,-73.9784
10107,40.7665,-73.9819,40.7655,-73.9824
10110,40.7532,-73.9811,40.7532,-73.9811
10111,40.7594,-73.977,40.7588,-73.9778
10112,40.7589,-73.9787,40.7588,-73.9799
10115,40.8564,-73.9301,40.8104,-73.9644
10118,40.7493,-73.988,40.7493,-73.988
10119,40.7516,-73.9909,40.7507,-73.9921
10128,40.7879,-73.9431,40.7759,-73.9672
10153,40.764,-73.9732,40.764,-73.9732
10154,40.7581,-73.9732,40.7581,-73.9732
10158,40.7492,-73.9756,40.7489,-73.9758
10162,40.8405,-73.8418,40.7911,-73.8912
10167,40.755,-73.9755,40.755,-73.9755
10168,40.7511,-73.9773,40.7511,-73.9773
10172,40.7556,-73.975,40.7556,-73.975
10173,40.7535,-73.9788,40.7535,-73.9788
10174,40.7518,-73.9748,40.7518,-73.9758
10177,40.755,-73.9757,40.755,-73.9757
10199,40.8061,-73.8824,40.6839,-74.0091
10278,40.7159,-74.0038,40.7159,-74.0038
10279,40.7123,-74.0079,40.7123,-74.0079
10280,40.7108,-74.0148,40.7049,-74.0182
