ZIP,BORO,NEIGHBORHOOD,NAME,WIKILINK,description,fulllink
10312,Staten Island,South Shore,Annadale,"Annadale,_Staten_Island","Annadale is a neighborhood of New York City in the borough of Staten Island, New York, USA, situated on the island's South Shore. The neighborhood is represented in the New York City Council by its most famous resident, conservative commentator Joe Borelli, who has described the neighborhood as ""a slice of heaven in New York City.""","https://en.wikipedia.org/wiki/Annadale,_Staten_Island"
10305,Staten Island,Stapleton and St. George,Arrochar,"Arrochar,_Staten_Island","Arrochar is a neighborhood in northeastern Staten Island in New York City in the United States. It is located directly inland of Fort Wadsworth and South Beach, on the east side of Hylan Boulevard south of the Staten Island Expressway; the community of Grasmere borders it on the west. It is today primarily a neighborhood of one- and two-family homes and small businesses.[citation needed]","https://en.wikipedia.org/wiki/Arrochar,_Staten_Island"
11692,Queens,Rockaways,Arverne,"Arverne,_Queens","Arverne is a neighborhood in the New York City borough of Queens, on the Rockaway Peninsula. It was initially developed by Remington Vernam, whose signature ""R. Vernam"" inspired the name of the neighborhood.[1] Arverne extends from Beach 56th Street to Beach 79th Street, along its main thoroughfare Beach Channel Drive, alternatively known as Rev. Joseph H. May Drive. The neighborhood is part of Queens Community Board 14.[2]","https://en.wikipedia.org/wiki/Arverne,_Queens"
11693,Queens,Rockaways,Arverne,"Arverne,_Queens","Arverne is a neighborhood in the New York City borough of Queens, on the Rockaway Peninsula. It was initially developed by Remington Vernam, whose signature ""R. Vernam"" inspired the name of the neighborhood.[1] Arverne extends from Beach 56th Street to Beach 79th Street, along its main thoroughfare Beach Channel Drive, alternatively known as Rev. Joseph H. May Drive. The neighborhood is part of Queens Community Board 14.[2]","https://en.wikipedia.org/wiki/Arverne,_Queens"
11102,Queens,Northwest Queens,Astoria,"Astoria,_Queens","Astoria is a middle-class and commercial neighborhood with a population of 78,793[1] in the northwestern corner of the New York City borough of Queens. Located in Community Board 1, Astoria is bounded by the East River and is adjacent to three other Queens neighborhoods: Long Island City, Sunnyside (bordering at Northern Boulevard), and Woodside (bordering at 50th Street). Astoria is patrolled by the New York City Police Department's 114th Precinct.[3]","https://en.wikipedia.org/wiki/Astoria,_Queens"
11103,Queens,Northwest Queens,Astoria,"Astoria,_Queens","Astoria is a middle-class and commercial neighborhood with a population of 78,793[1] in the northwestern corner of the New York City borough of Queens. Located in Community Board 1, Astoria is bounded by the East River and is adjacent to three other Queens neighborhoods: Long Island City, Sunnyside (bordering at Northern Boulevard), and Woodside (bordering at 50th Street). Astoria is patrolled by the New York City Police Department's 114th Precinct.[3]","https://en.wikipedia.org/wiki/Astoria,_Queens"
11105,Queens,Northwest Queens,Astoria,"Astoria,_Queens","Astoria is a middle-class and commercial neighborhood with a population of 78,793[1] in the northwestern corner of the New York City borough of Queens. Located in Community Board 1, Astoria is bounded by the East River and is adjacent to three other Queens neighborhoods: Long Island City, Sunnyside (bordering at Northern Boulevard), and Woodside (bordering at 50th Street). Astoria is patrolled by the New York City Police Department's 114th Precinct.[3]","https://en.wikipedia.org/wiki/Astoria,_Queens"
11106,Queens,Northwest Queens,Astoria,"Astoria,_Queens","Astoria is a middle-class and commercial neighborhood with a population of 78,793[1] in the northwestern corner of the New York City borough of Queens. Located in Community Board 1, Astoria is bounded by the East River and is adjacent to three other Queens neighborhoods: Long Island City, Sunnyside (bordering at Northern Boulevard), and Woodside (bordering at 50th Street). Astoria is patrolled by the New York City Police Department's 114th Precinct.[3]","https://en.wikipedia.org/wiki/Astoria,_Queens"
11214,Brooklyn,Southwest Brooklyn,Bath Beach,"Bath_Beach,_Brooklyn",Bath Beach is a neighborhood in the New York City Borough of Brooklyn in the United States. It is located at the southwestern edge of the borough on Gravesend Bay. The neighborhood borders Bensonhurst and New Utrecht across 86th Street; Dyker Beach Park and Golf Course across 14th Avenue; and Gravesend across Stillwell Avenue.[1],"https://en.wikipedia.org/wiki/Bath_Beach,_Brooklyn"
11209,Brooklyn,Southwest Brooklyn,Bay Ridge,"Bay_Ridge,_Brooklyn","Bay Ridge is a neighborhood in the southwest corner of the New York City borough of Brooklyn. It is bounded by Sunset Park on the north, Dyker Heights on the east, the Narrows and the Belt Parkway on the west, Fort Hamilton Army Base in the southeast corner, and the Verrazano Bridge on the south.","https://en.wikipedia.org/wiki/Bay_Ridge,_Brooklyn"
